mode,pass,start_word,end_word,total_words_approx,source_words__childes,source_words__qwen_pair_packed,source_words__simple_wiki,source_words__open_subtitles,source_words__bnc_spoken,source_words__gutenberg,source_words__cleanqwen_fineweb_compact_view_reinvest,source_words__switchboard,source_words__neutral_cleanqwen_topup_compact_reinvest::open_subtitles
source_childes_taper_rowsort_comp_f55_d25,10,90000000,100000000,9999907,1709760,1849075,1187200,2041600,642240,2074880,472112,23040,
source_childes_taper_rowsort_ratio_f55_d40,1,0,10000000,10000084,5307520,1047190,669440,1156320,364000,1174400,267765,13440,9
source_childes_taper_rowsort_ratio_f55_d40,2,10000000,20000000,9999938,4024640,1333374,850720,1472320,463520,1497280,340955,17120,9
source_childes_taper_rowsort_ratio_f55_d40,3,20000000,30000000,10000073,3164640,1525330,974560,1684160,530240,1711680,389934,19520,9
source_childes_taper_rowsort_ratio_f55_d40,4,30000000,40000000,10000025,2588320,1653904,1056640,1826240,574880,1856160,422752,21120,9
source_childes_taper_rowsort_ratio_f55_d40,5,40000000,50000000,9999926,2201920,1740154,1111680,1921440,604800,1952800,444874,22240,18
source_childes_taper_rowsort_ratio_f55_d40,6,50000000,60000000,10000111,1942880,1797868,1148640,1985280,624960,2017760,459665,23040,18
source_childes_taper_rowsort_ratio_f55_d40,7,60000000,70000000,9999942,1769280,1836630,1173440,2028000,638400,2061120,469534,23520,18
source_childes_taper_rowsort_ratio_f55_d40,8,70000000,80000000,10000032,1652960,1862607,1190080,2056640,647360,2090400,476145,23840,
source_childes_taper_rowsort_ratio_f55_d40,9,80000000,90000000,10000015,1574880,1880030,1201120,2076000,653440,2109920,480625,24000,
source_childes_taper_rowsort_ratio_f55_d40,10,90000000,100000000,9999854,1521760,1890913,1214080,2088000,656800,2122080,482861,23360,
source_childes_taper_rowsort_comp_f55_d40,1,0,10000000,10000067,5307520,1047082,668800,1156320,364000,1175200,267705,13440,
source_childes_taper_rowsort_comp_f55_d40,2,10000000,20000000,9999990,4024640,1333396,851680,1472320,463520,1496480,340825,17120,9
source_childes_taper_rowsort_comp_f55_d40,3,20000000,30000000,10000067,3164640,1525310,974560,1684160,530240,1711680,389948,19520,9
source_childes_taper_rowsort_comp_f55_d40,4,30000000,40000000,10000004,2588320,1653831,1056640,1826240,574880,1856160,422804,21120,9
source_childes_taper_rowsort_comp_f55_d40,5,40000000,50000000,9999976,2201920,1740167,1111680,1921440,604800,1952800,444920,22240,9
source_childes_taper_rowsort_comp_f55_d40,6,50000000,60000000,9999914,1942880,1797950,1148320,1985280,624960,2017760,459688,23040,36
source_childes_taper_rowsort_comp_f55_d40,7,60000000,70000000,10000091,1769280,1836578,1173600,2028000,638400,2061120,469575,23520,18
source_childes_taper_rowsort_comp_f55_d40,8,70000000,80000000,9999937,1652960,1862622,1189920,2056640,647360,2090400,476195,23840,
source_childes_taper_rowsort_comp_f55_d40,9,80000000,90000000,10000092,1574880,1880087,1201120,2076000,653440,2109920,480645,24000,
source_childes_taper_rowsort_comp_f55_d40,10,90000000,100000000,9999862,1521760,1890977,1214080,2088000,656800,2122080,482805,23360,
global_sort__childes_ratio,1,0,10000000,10000000,8667200,648780,248000,60800,54400,120000,199130,1600,90
global_sort__childes_ratio,2,10000000,20000000,10000110,7330240,950800,272000,569600,219200,368000,285470,4800,
global_sort__childes_ratio,3,20000000,30000000,9999940,4559360,1270700,432000,1746720,572800,1062400,336760,19200,
global_sort__childes_ratio,4,30000000,40000000,10000080,2416000,1401780,473600,2998880,704000,1670400,314620,20800,
global_sort__childes_ratio,5,40000000,50000000,9999950,1278400,1439540,563200,3366400,756800,2219200,334810,41600,
global_sort__childes_ratio,6,50000000,60000000,10000000,702400,1523680,637280,3204800,784000,2769600,344640,33600,
global_sort__childes_ratio,7,60000000,70000000,10000070,387200,1755340,847520,2848000,691200,3020960,414650,35200,
global_sort__childes_ratio,8,70000000,80000000,9999890,251200,2089040,1144000,2123200,787200,3124640,451810,28800,
global_sort__childes_ratio,9,80000000,90000000,9999960,116800,2616950,1900800,1034400,742400,2865600,705410,17600,
global_sort__childes_ratio,10,90000000,100000000,10000000,40000,2871390,4072000,341600,446400,1372800,847810,8000,
global_sort__childes_composite,1,0,10000000,10000150,4062560,1242680,284800,1985600,1451200,612800,293310,67200,
global_sort__childes_composite,2,10000000,20000000,9999950,4302240,893170,211200,2449600,908800,995200,183740,56000,
global_sort__childes_composite,3,20000000,30000000,10000050,3958400,953670,291200,2623200,716800,1233600,194380,28800,
global_sort__childes_composite,4,30000000,40000000,9999875,3507200,1131385,358400,2584800,572800,1585600,235690,24000,
global_sort__childes_composite,5,40000000,50000000,10000025,3096000,1234535,534400,2400160,507200,1920000,299730,8000,
global_sort__childes_composite,6,50000000,60000000,10000080,2447680,1529320,649600,2235040,433600,2366400,330440,8000,
global_sort__childes_composite,7,60000000,70000000,9999970,2008000,1835850,984000,1777600,382400,2539200,461720,11200,
global_sort__childes_composite,8,70000000,80000000,10000030,1411520,2190420,1404800,1248000,300800,2914080,527210,3200,
global_sort__childes_composite,9,80000000,90000000,9999940,758400,2569890,2188800,720000,230400,2782400,745160,4800,90
global_sort__childes_composite,10,90000000,100000000,9999930,196800,2987080,3683200,270400,254400,1644320,963730,,
global_sort__childes_freq,1,0,10000000,10000060,2392000,1545500,396800,2446240,1825600,928000,376320,89600,
global_sort__childes_freq,2,10000000,20000000,9999960,2985440,1069500,382400,2908960,1006400,1376000,208860,62400,
global_sort__childes_freq,3,20000000,30000000,10000030,3216160,1131190,457600,2723200,660800,1568000,222280,20800,
global_sort__childes_freq,4,30000000,40000000,10000070,3131200,1259340,531200,2568000,534400,1694400,278330,3200,
global_sort__childes_freq,5,40000000,50000000,9999910,3179200,1257760,737600,2146880,452800,1904000,308870,12800,
global_sort__childes_freq,6,50000000,60000000,9999970,2949440,1447870,790400,1912320,363200,2174400,354340,8000,
global_sort__childes_freq,7,60000000,70000000,10000090,2781760,1696360,1046400,1475200,273600,2320960,393010,12800,
global_sort__childes_freq,8,70000000,80000000,9999970,2411200,1843820,1416000,1139200,238240,2467840,483670,,
global_sort__childes_freq,9,80000000,90000000,10000010,1926400,2305520,1744000,688000,182560,2535520,616410,1600,
global_sort__childes_freq,10,90000000,100000000,9999930,776000,3011140,3088000,286400,220800,1624480,993020,,90
global_sort__spoken_freq,1,0,10000000,10000000,1951200,1637160,473600,2457600,1977600,1011200,395640,96000,
global_sort__spoken_freq,2,10000000,20000000,10000076,2605600,1133526,547200,2932800,1056000,1422400,240150,62400,
global_sort__spoken_freq,3,20000000,30000000,10000014,2883200,1186664,560000,2884800,651360,1572800,245190,16000,
global_sort__spoken_freq,4,30000000,40000000,9999980,3094400,1255730,552000,2529920,532640,1740800,286490,8000,
global_sort__spoken_freq,5,40000000,50000000,10000020,3100320,1273450,724800,2217280,459200,1904000,309770,11200,
global_sort__spoken_freq,6,50000000,60000000,9999960,3147680,1472260,790400,1819360,284800,2142400,331860,11200,
global_sort__spoken_freq,7,60000000,70000000,10000070,2952000,1608750,1136000,1423840,246400,2218880,409400,4800,
global_sort__spoken_freq,8,70000000,80000000,10000030,2723200,1782610,1273120,1102400,220800,2430720,467180,,
global_sort__spoken_freq,9,80000000,90000000,9999860,2262400,2314270,1557280,660960,132800,2481600,588950,1600,
global_sort__spoken_freq,10,90000000,100000000,9999990,1028800,2903580,2976000,265440,196800,1668800,960480,,90
global_sort__whole_freq,1,0,10000000,10000010,903520,2010980,977600,2244800,1958400,1289600,514310,100800,
global_sort__whole_freq,2,10000000,20000000,10000050,1387680,1449000,804800,3095040,1094400,1814400,298730,56000,
global_sort__whole_freq,3,20000000,30000000,9999960,1789760,1319920,788800,3023360,729600,2033600,289320,25600,
global_sort__whole_freq,4,30000000,40000000,10000130,2205440,1368260,850400,2721600,523200,2017600,305630,8000,
global_sort__whole_freq,5,40000000,50000000,9999890,2577760,1496880,868000,2232000,404800,2108800,305250,6400,
global_sort__whole_freq,6,50000000,60000000,10000110,2973120,1450690,948800,1792000,323200,2158400,347500,6400,
global_sort__whole_freq,7,60000000,70000000,9999970,3329120,1511920,971200,1421920,235200,2136000,393010,1600,
global_sort__whole_freq,8,70000000,80000000,9999980,3558400,1596100,1198400,926880,176000,2096000,443400,4800,
global_sort__whole_freq,9,80000000,90000000,10000020,3824480,1860130,1256000,582400,150400,1812800,512210,1600,
global_sort__whole_freq,10,90000000,100000000,9999880,3199520,2504120,1926400,254400,163200,1126400,825750,,90
global_sort__cdi_density,1,0,10000000,10000020,7464160,226170,55520,1354560,141440,745280,9120,3680,90
global_sort__cdi_density,2,10000000,20000000,10000080,5177120,642430,83200,2226720,276800,1513760,68210,11840,
global_sort__cdi_density,3,20000000,30000000,10000020,4035680,682200,147360,2615680,388320,2047040,63260,20480,
global_sort__cdi_density,4,30000000,40000000,9999960,2988000,1152730,225280,2743200,466720,2207520,197950,18560,
global_sort__cdi_density,5,40000000,50000000,9999930,2147360,1695380,331520,2587840,619840,2282400,311110,24480,
global_sort__cdi_density,6,50000000,60000000,10000100,1562080,1892050,517120,2449600,743680,2428000,384210,23360,
global_sort__cdi_density,7,60000000,70000000,10000010,1222560,1762270,930560,2040480,913120,2666400,439020,25600,
global_sort__cdi_density,8,70000000,80000000,10000000,659360,2815710,1415520,1288960,866560,2163840,758530,31520,
global_sort__cdi_density,9,80000000,90000000,10000027,354880,3113829,2337120,772960,724320,1704160,952278,40480,
global_sort__cdi_density,10,90000000,100000000,9999853,137600,2585231,4547200,214400,617600,835200,1051422,11200,
global_sort__child_early,1,0,10000000,10000150,4660320,1877210,990400,675200,297600,976000,515330,8000,90
global_sort__child_early,2,10000000,20000000,9999850,4490080,1411060,561600,1304000,288000,1662080,275030,8000,
global_sort__child_early,3,20000000,30000000,10000070,3653600,1299430,496000,1825600,356800,2064320,291520,12800,
global_sort__child_early,4,30000000,40000000,10000070,3186400,1285460,454400,2150400,481600,2170240,257170,14400,
global_sort__child_early,5,40000000,50000000,9999940,2636800,1292060,529600,2462560,524800,2242560,285960,25600,
global_sort__child_early,6,50000000,60000000,10000050,2344800,1335830,521600,2559840,579200,2323200,308380,27200,
global_sort__child_early,7,60000000,70000000,9999970,1917600,1433290,721600,2602880,672000,2315200,311800,25600,
global_sort__child_early,8,70000000,80000000,9999984,1528000,1590014,971200,2425920,825600,2193600,419250,46400,
global_sort__child_early,9,80000000,90000000,9999986,996800,2255866,1516800,1792640,1056000,1774400,577080,30400,
global_sort__child_early,10,90000000,100000000,9999930,334400,2787780,3827200,495360,676800,872000,993590,12800,
global_sort__written_control,1,0,10000000,10000000,40000,2871390,4072000,341600,446400,1372800,847810,8000,
global_sort__written_control,2,10000000,20000000,10000110,116800,2617100,1900800,1034400,742400,2865600,705410,17600,
global_sort__written_control,3,20000000,30000000,9999900,251200,2088890,1144000,2123200,787200,3124800,451810,28800,
global_sort__written_control,4,30000000,40000000,10000070,387200,1755340,847680,2848000,691200,3020800,414650,35200,
global_sort__written_control,5,40000000,50000000,9999986,702400,1523826,637120,3204800,784000,2769600,344640,33600,
global_sort__written_control,6,50000000,60000000,9999964,1278400,1439394,563200,3366560,756800,2219200,334810,41600,
global_sort__written_control,7,60000000,70000000,10000080,2416000,1401780,473600,2998880,704000,1670400,314620,20800,
global_sort__written_control,8,70000000,80000000,9999940,4559520,1270700,432000,1746560,572800,1062400,336760,19200,
global_sort__written_control,9,80000000,90000000,9999950,7330080,950800,272000,569600,219200,368000,285470,4800,
global_sort__written_control,10,90000000,100000000,10000000,8667200,648780,248000,60800,54400,120000,199130,1600,90
