line_no,example_id,source,nearest_cue,distance_to_cue_chars,target_word,target_word_freq,alternative_word,alternative_word_freq,local_alt_rank,scale_local_margin_target_minus_alt,scale_full_margin_target_minus_alt,base_full_margin_target_minus_alt,context_gain_full_minus_local,scale_minus_base_full_margin,scale_full_target_rank,scale_full_alt_rank,base_full_target_rank,base_full_alt_rank,scale_full_error_vs_alt,unsaturated_abs_full_margin_le_0p5,context_decides_local_alt_full_gold,scale_weaker_than_base_by_0p5,snippet
1515,951514,cleanqwen_fineweb_compact_view_reinvest,less,43,noise,1578,cept,26,21,-5.022397041320801,-6.0000786781311035,-4.38698410987854,-0.9776816368103027,-1.6130945682525635,1911,5,1214,22,True,False,False,True,"Is it then possible that, in the modern information age, voters might actually be less informed as a result of the constant “noise” of election advertising causing them to tune out? Could modern election advertising noise make voters less informed by causing them to tune out? The 75 to 90 kilowatts of power for the ISS is supplied by an acre of solar panels. An acre of solar panels supplies 75 to 90 kilowatts of power for the ISS. Seven of them w"
1555,951554,cleanqwen_fineweb_compact_view_reinvest,less,26,better,4975,higher,764,5,-3.4723381996154785,-2.0913448333740234,-1.8577426075935364,1.380993366241455,-0.23360222578048706,791,106,2403,698,True,False,False,False,"Better irrigation systems, less thirsty crops and the use of “grey,” meaning used, water to flush toilets are among the options. - The bill for coping with climate-induced water problems will be between 13.7 billion and 19.2 billion dollars annually between 2020 and 2050. Better irrigation, less thirsty crops, and using grey water for toilets are options; the bill will be 13.7 to 19.2 billion dollars annually from 2020 to 2050. The station and ev"
1562,951561,cleanqwen_fineweb_compact_view_reinvest,around,45,derek,82,graduate,105,1,-8.833027839660645,8.654634475708008,10.094198226928711,17.487662315368652,-1.4395637512207031,1,1273,1,2248,False,False,True,True,"Derek, a recent CTG graduate, led the class around the Discovery Garden. Derek led the CTG class around the Discovery Garden. Home energy ratings can be used in a variety of ways in the housing industry. Home energy ratings can be used in many housing industry ways. In architecture, proportion and scale are the way we perceive those relationships as they apply to various objects and spaces that come together to make a building. In architecture, p"
1600,951599,cleanqwen_fineweb_compact_view_reinvest,previous,40,women,1881,people,12507,1,-3.846393585205078,2.050912857055664,1.2104735374450684,5.897306442260742,0.8404393196105957,59,319,70,163,False,False,True,False,"Women that have preeclampsia in their previous pregnancies are advised to attend more prenatal sessions than other women. Women with prior preeclampsia need more prenatal sessions than other women. A diet rich in colorful vegetables and fruits and essential fatty acids such as those found in nuts and oils. A diet rich in colorful fruits, vegetables, nuts, and oils provides essential fatty acids. Do not to force a toddler to walk before s/he is re"
1616,951615,cleanqwen_fineweb_compact_view_reinvest,before,6,long,6443,said,21540,13,-4.733474612236023,-4.407378435134888,-5.971857070922852,0.32609617710113525,1.5644786357879639,5665,503,7013,213,True,False,False,False,"Long before DNA analysis there were rumours that some members of Romanov family has escaped execution and were hiding somewhere in Europe. Before DNA analysis, rumors said some Romanov family members escaped execution and hid in Europe. In other areas of the world, tularemia is transmitted by water rats and other aquatic animals. Tularemia spreads via water rats and other aquatic animals elsewhere. After a single dose, mice were found to be immun"
1623,951622,cleanqwen_fineweb_compact_view_reinvest,less,74,women,1881,people,12507,1,-4.496232032775879,2.0281143188476562,1.7564945220947266,6.524346351623535,0.2716197967529297,2,4,2,3,False,False,True,False,"Women who use birth control pills for at least five years are three-times less likely to develop ovarian cancer. Women taking birth control pills for five years have three times lower ovarian cancer risk. Also, the ping-pong ball sized globes of fused quartz and silicon that are the heart of the gyroscopes need to be super-spherical - varying from a ‘true sphere’ by only 40 atomic layers. The fused quartz and silicon gyroscopes need globes varyin"
1658,951657,cleanqwen_fineweb_compact_view_reinvest,into,45,water,4750,away,7015,1,-4.960899829864502,-1.5574898719787598,4.650569915771484,3.403409957885742,-6.208059787750244,212,50,1,162,True,False,False,True,Water from precipitation which as not seeped into the ground and which is discharged to the drain or sewer system directly form the ground or from exterior building surfaces The terms black and grey water is sometimes also used to describe wastewater. Water from precipitation that did not seep into the ground and discharges directly to drains or sewers from ground or exterior building surfaces is sometimes called black or grey water. This would m
1659,951658,cleanqwen_fineweb_compact_view_reinvest,more,15,related,352,able,2078,5,-3.5271780490875244,-0.7108726501464844,-1.927905559539795,2.81630539894104,1.2170329093933105,150,61,73,10,True,False,False,False,"Depression may also alternate with periods of high euphoria and energy (mania); in this case, the disease is Bipolar Disorder. Depression alternating with mania means the disease is Bipolar Disorder. For families of children with special needs, as much advance notice and planning as is possible can help in gathering additional items, like important documen.. Families of children with special needs can gather items with advance notice and planning"
1771,951770,cleanqwen_fineweb_compact_view_reinvest,longer,17,full,2183,billboard,345,9,-5.686683893203735,-1.197671890258789,-5.048245191574097,4.489012002944946,3.8505733013153076,195,59,1648,23,True,False,False,False,"Beyond that, it's important to know which foods are toxic and should be kept behind closed doors. Know which toxic foods to keep behind closed doors. Hence, it is no longer using the ""full"" 24-bits to achieve that color. It no longer uses full 24-bit color. Engineers and planners needed to cross the Forth, but had to do it in a way that would be acceptable to a public still shocked by what was then the worst bridge disaster in history. Engineers "
1837,951836,cleanqwen_fineweb_compact_view_reinvest,inside,28,finally,1003,time,15557,3,-6.481410503387451,-6.454577744007111,-7.112667262554169,0.026832759380340576,0.6580895185470581,969,8,1342,12,True,False,False,False,"Finally it was time to come inside to the fire and light of the home and hearth, and rest, celebrate and feast. Finally, they entered the home to rest, celebrate, and feast by the fire and light. Since our valley is home to lots of visitors and transplants from the East Coast, it's common to hear the local hummingbirds called ruby-throats, since the males share the same red gorget as their East Coast cousins. Because our valley hosts many East Co"
1848,951847,cleanqwen_fineweb_compact_view_reinvest,higher,50,david,1260,named,1580,4,-0.9737014770507812,11.707793235778809,11.173484325408936,12.68149471282959,0.534308910369873,1,157,1,204,False,False,True,False,"David Ludwig found that those who ate a low fat, higher glycemic diet burned 300 calories less a day that those who ate an identical calorie diet that was higher in fat and lower in glycemic load. David Ludwig found low-fat, high-glycemic eaters burned 300 fewer daily calories than identical-calorie, high-fat, low-glycemic eaters. This day is designated as a time for step families to spend time together and for children to honor their stepparents"
1958,951957,cleanqwen_fineweb_compact_view_reinvest,right,60,further,941,found,4837,11,-9.059761047363281,3.2763237953186035,4.1195995807647705,12.336084842681885,-0.843275785446167,4,143,4,272,False,False,True,True,"Further tests on the group found that those with an enlarged right dorsolateral prefrontal cortex (rDLPFC), as the brain region is known, fared better on a series of mental tasks. Further tests found those with an enlarged right dorsolateral prefrontal cortex (rDLPFC) fared better on a series of mental tasks. Physical characteristics: The colours are mostly red with shades ranging from light to dark. Colours are mostly red, ranging from light to "
1999,951998,cleanqwen_fineweb_compact_view_reinvest,more,43,thus,726,found,4837,19,-7.777334690093994,-6.557516813278198,-3.5884262323379517,1.219817876815796,-2.9690905809402466,8249,126,4862,519,True,False,False,True,"Thus a home with a HERS Index of 85 is 15% more energy efficient than the HERS Reference Home and a home with a HERS Index of 80 is 20% more energy efficient. A HERS Index of 85 means 15% more efficiency than the reference home, while 80 means 20% more. Camp Moomba is a place where kids get to be “friends together having fun”, without HIV stigma. Camp Moomba lets kids be friends and have fun without HIV stigma. The island, 18km east of the Coroma"
2002,952001,cleanqwen_fineweb_compact_view_reinvest,over,71,think,16606,type,791,1,-8.078180074691772,-5.068207085132599,-6.605987370014191,3.0099729895591736,1.5377802848815918,2669,78,3721,22,True,False,False,False,"Think of plantar fasciitis as another gout complication that can occur over time if your gout is not properly treated. Untreated gout can cause plantar fasciitis as a complication over time. These were located anywhere throughout the home, but were primarily found in kitchens and bedrooms. They were found throughout the home, mainly in kitchens and bedrooms. “Eating a diet rich in fruits and vegetables, getting regular exercise, maintaining a nor"
2048,952047,cleanqwen_fineweb_compact_view_reinvest,more,48,researchers,381,people,12507,3,-7.924574375152588,-5.764866828918457,-5.8955607414245605,2.159707546234131,0.13069391250610352,396,2,294,1,True,False,False,False,"Researchers have found that when women eat four or more teaspoons of margarine a day, they are at significantly greater risk for heart disease than women who eat two teaspoons or less during the same period. Women eating four or more teaspoons of margarine daily face significantly higher heart disease risk than those eating two or fewer. This is because they spend the majority of their day in the inclusive class together. They spend most of the d"
2071,952070,cleanqwen_fineweb_compact_view_reinvest,into,11,little,16792,making,2742,4,-1.58546781539917,0.6523046493530273,1.1472363471984863,2.2377724647521973,-0.494931697845459,6,15,18,62,False,False,True,False,"Fortunately, emerging economies do not have this problem, as electricity demand is on the rise and a lot of new capacity is needed. Fortunately, emerging economies lack this problem because rising electricity demand needs new capacity. According to a recent survey more than 50% of the sustainability reports in India are externally assured. A recent survey shows over 50% of India's sustainability reports are externally assured. Before diving into "
2074,952073,cleanqwen_fineweb_compact_view_reinvest,different,25,mark,3151,life,5012,7,-6.076621115207672,-1.6293022632598877,0.20000815391540527,4.447318851947784,-1.829310417175293,1035,303,113,142,True,False,False,True,"When a child starts to make scribbles, patterns and different shapes, this is ‘mark making’. Scribbles, patterns, and shapes are called mark making. According to a 2004 survey, more than 90,000 jobs and $5 billion were produced by the presence of Camp Lejeune. A 2004 survey found Camp Lejeune created over 90,000 jobs and $5 billion. When the V-shaped ribbon is released from the substrate it forms a helix consisting of a dual coil that is connecte"
2094,952093,cleanqwen_fineweb_compact_view_reinvest,higher,29,studies,563,scientists,697,7,-1.2187738418579102,4.411294937133789,5.028314590454102,5.630068778991699,-0.6170196533203125,1,31,1,12,False,False,True,True,"Studies have also reported a higher risk of injury in players with low 10-m and 40-m speed, while players with a low maximal aerobic power had a greater risk of sustaining a contact injury. Studies show higher injury risk for players with low 10-m, 40-m speed or low maximal aerobic power regarding contact injuries. This unprocessed, nutty-tasting seed can be made into a gel and added to foods as well as used as a substitute for whole grains. This"
2102,952101,cleanqwen_fineweb_compact_view_reinvest,more,7,several,1683,contains,252,28,-2.392449378967285,2.5940616130828857,3.022673726081848,4.986510992050171,-0.4286121129989624,75,592,150,1251,False,False,True,False,"Several more burial chambers containing the remains of Moche royalty were soon excavated, all dating from about 300 ce. More Moche royal burial chambers from about 300 ce were soon excavated. One hundred sample locations were chosen with conditioned Latin hypercube based off of environmental covariates which included but not limited to topographic, geologic and remotely sensed spectral data. One hundred locations were chosen using conditioned Lat"
2106,952105,cleanqwen_fineweb_compact_view_reinvest,first,67,like,28123,against,3530,23,-2.38162899017334,3.755695104598999,8.592585563659668,6.137324094772339,-4.836890459060669,9,239,1,640,False,False,True,True,"Like the Israelites' sojourn in Egypt, romaine lettuce is sweet at first, but becomes more and more bitter as time goes on. Like Israelites in Egypt, romaine lettuce starts sweet but grows bitter over time. Floating plants are unaffected if they have reached the surface. Surface plants are unaffected. Worldwide, shark populations are in decline due to unregulated fishing, much of it to meet the high demand for fins. Unregulated fishing for fins c"
2111,952110,cleanqwen_fineweb_compact_view_reinvest,above,50,until,4217,full,2183,11,-2.007460594177246,7.607438087463379,11.15952417254448,9.614898681640625,-3.5520860850811005,3,356,1,1697,False,False,True,True,"Until 1964 the mint mark was on the reverse, just above the “E” in the word “ONE.” Starting in 1968, the mint mark was moved to the front of the coin just above the date. Until 1964 the mint mark was on the reverse above the ""E"" in ""ONE,"" but starting in 1968 it moved to the front above the date. A Passive House is thoughtfully designed to reduce energy consumption by 90% in a home. A Passive House design cuts home energy use by 90%. Mice were gi"
2132,952131,cleanqwen_fineweb_compact_view_reinvest,through,9,further,941,design,554,1,-10.188883900642395,-5.774892807006836,-5.961918115615845,4.413991093635559,0.1870253086090088,10994,182,9335,208,True,False,False,False,"Further, through the design, parts of the film making process that were once invisible like wardrobe, prop storage, and set-construction are made visible. The design makes invisible film parts like wardrobe, prop storage, and set-construction visible. Part of the 'general welfare' and 'blessings of liberty' arguably include the expressions of great masters of art throughout the ages be they fine arts or performing arts. General welfare and libert"
2205,952204,cleanqwen_fineweb_compact_view_reinvest,first,82,according,1034,used,4834,1,-4.200643539428711,-4.870341539382935,-2.607119560241699,-0.6696979999542236,-2.2632219791412354,378,2,85,6,True,False,False,True,"According to study materials, the risk of developing celiac disease in those with a first-degree relative with celiac is 8-15% compared with 1% in the general population. People with a first-degree relative with celiac have an 8-15% risk, compared to 1% in the general population. There are feasts usually in the houses where sacrifices is done. Feasts usually happen where sacrifices occur. TB disease can cause death if it is not treated. Untreated"
2227,952226,cleanqwen_fineweb_compact_view_reinvest,more,25,good,15059,little,16792,26,-1.6284880638122559,7.148591995239258,6.932951927185059,8.777080059051514,0.21564006805419922,2,100,1,143,False,False,True,False,"Good employers now know, more than ever, that protecting their employees from electrical hazards, such an arc flash, is not only a legal requirement but also the right thing to do. Good employers now know that protecting employees from arc flash hazards is both legally required and the right thing to do. The most difficult part of my work is the pressure to be timely. My hardest work part is pressure to be timely. Virtually all were single men, s"
2277,952276,cleanqwen_fineweb_compact_view_reinvest,facing,41,mountain,623,north,1742,3,-5.2589921951293945,-0.5277109146118164,-0.5468363761901855,4.731281280517578,0.01912546157836914,909,639,246,144,True,False,False,False,"Mountain lions in southern California are facing an uncertain future as urbanisation forces them to live in isolated groups, and suffer a severe loss of genetic diversity: here. Urbanisation in southern California isolates mountain lions, causing severe genetic diversity loss. With Assad still in a position to control Syrian airspace, UAV use against IS without coordinating with Damascus is risky. Assad controls Syrian airspace, so using UAVs aga"
2300,952299,cleanqwen_fineweb_compact_view_reinvest,first,12,throughout,580,spent,721,4,-4.145521640777588,-2.3590736389160156,-1.7864317893981934,1.7864480018615723,-0.5726418495178223,192,34,85,28,True,False,False,True,"Throughout the first two years, the clinical significance of basic science material is stressed. Basic science material's clinical significance is stressed for two years. In Japan, most of the damage was actually inflicted by the subsequent tsunami, just as most of the destruction in the San Francisco quake of 1906 was caused by fires that ripped through the city after gas lines were ruptured. In Japan, the tsunami caused most damage, just as 190"
2314,952313,cleanqwen_fineweb_compact_view_reinvest,less,52,baby,4944,work,6180,7,-7.847990036010742,-6.18905246257782,-5.417810797691345,1.6589375734329224,-0.7712416648864746,5417,18,7123,217,True,False,False,True,"Baby is likelier to be physically ready When babies less than six months old are fed solid food, it can be dangerous as their oral muscles are not fully developed. Feeding babies under six months solid food is dangerous because their oral muscles are not fully developed. Manly plants, such as sorghums, will take up excess levels of nitrogen if it is present. Manly plants like sorghums take up excess nitrogen if present. Another Crash is coming… a"
2371,952370,cleanqwen_fineweb_compact_view_reinvest,less,63,people,12507,others,1859,12,1.6864910125732422,2.4776134490966797,3.8597984313964844,0.7911224365234375,-1.3821849822998047,3,17,2,17,False,False,False,True,"People were deemed inactive if they had a sedentary job and did less than one hour of moderate to vigorous activity per week, or their level of physical activity was in the lowest 20% among that group of study participants. People were inactive if they had sedentary jobs, did under one hour of moderate activity weekly, or were in the lowest 20% of activity among study participants. The benefits of Ortho-K are only present when using it. Ortho-K b"
2382,952381,cleanqwen_fineweb_compact_view_reinvest,over,55,bear,2356,evidence,733,1,-13.867896795272827,-8.70426082611084,-11.04222297668457,5.163635969161987,2.3379621505737305,12470,83,12713,27,True,False,False,False,Bear in mind that there is no scientific evidence that over-hydration enhances kidney function. No evidence shows over-hydration enhances kidney function. Video EEG can take several days to complete and is done in the specially-equipped epilepsy monitoring unit (EMU) at Barnes-Jewish Hospital. Video EEG takes several days in the epilepsy unit at Barnes-Jewish Hospital. Why do you think that many Americans were so eager to support restricted immig
2386,952385,cleanqwen_fineweb_compact_view_reinvest,different,69,color,1604,yellow,2394,1,-8.665876388549805,-0.5352206230163574,-5.827740177512169,8.130655765533447,5.2925195544958115,243,160,4388,32,True,False,False,False,"Color is graded in shades of yellow, brown and gray and comes from different levels of nitrogen below the surface of the earth; little to no nitrogen produces colorless diamonds. Yellow, brown, and gray colors come from nitrogen levels below earth; little or no nitrogen makes diamonds colorless. More interesting was that the prefrontal cortex of the high delayers was in full swing during the trial while the low delayers showed an uptick in activi"
2397,952396,cleanqwen_fineweb_compact_view_reinvest,into,56,once,4084,wherever,168,10,-3.0532021522521973,0.6695051193237305,0.17778491973876953,3.7227072715759277,0.49172019958496094,27,46,29,34,False,False,True,False,"Once they are back in the intestines, the larvae mature into adult roundworms. Larvae become adult roundworms once back in intestines. Firmware and software Firmware is frequently required for the microcontroller, graphical PC software for the user interface (the GUI). Firmware is needed for the microcontroller and GUI software for the user. The Federal Environment Ministry has embedded the national dialogue on water, which started in October 201"
2436,952435,cleanqwen_fineweb_compact_view_reinvest,between,54,upper,408,yellow,2394,6,-5.265095949172974,1.2310519218444824,-0.3070859909057617,6.496147871017456,1.5381379127502441,13,52,232,184,False,False,True,False,"Upper eyelid is covered by reddish brown blotch, and between the eyes there is a weak brownish triangular fleck. Reddish-brown blotch covers upper eyelid; weak brownish triangular fleck lies between eyes. When fluoride is present during remineralisation, the minerals deposited are harder than they would otherwise be, helping to strengthen your teeth and prevent dissolution during the next demineralisation phase. Fluoride makes deposited minerals "
2484,952483,cleanqwen_fineweb_compact_view_reinvest,over,42,instead,1517,flow,220,1,-6.565417289733887,10.63548219203949,11.953002572059631,17.200899481773376,-1.3175203800201416,1,1569,1,1335,False,False,True,True,"Instead of letting the wastewater flow all over the plot, it is sprinkled into beds marked 1; these consist of layers of gravel to remove the suspended and organic particles from the wastewater. Instead of letting wastewater flow over the plot, it is sprinkled into bed 1, where gravel layers remove suspended and organic particles. Selecting a rootstock that works with a particular variety and the soil type, he said, is crucial for the final quali"
2488,952487,cleanqwen_fineweb_compact_view_reinvest,after,49,male,405,like,28123,18,-4.60953426361084,-2.8042840361595154,-4.3715647757053375,1.8052502274513245,1.5672807395458221,1785,203,2515,78,True,False,False,False,"Male Drone Bees Live Only To Mate With The Queen After they do that, they meet the end of their lives, because their lower abdomen ruptures when their endophallus is left inside the queen. Male drone bees live only to mate with the queen, dying afterward because their abdomen ruptures when their endophallus stays inside her. Coconuts used to be grown for copra that was made into coconut oil and animal feed. Coconuts were grown for copra oil and a"
2722,952721,cleanqwen_fineweb_compact_view_reinvest,more,11,children,3675,adults,224,1,-3.5093116760253906,3.0170483589172363,4.737766265869141,6.526360034942627,-1.7207179069519043,3,21,1,30,False,False,True,True,"Children are more sensitive to radiation exposure than adults because their bodies are still developing. Children are more sensitive to radiation than adults because they are developing. The McClure Glacier, once a tributary of the Lyell, is much smaller. McClure Glacier is now much smaller than Lyell. Sticking Post-Its on household objects with their names in Spanish is a fun and easy way to learn vocabulary. Sticking Spanish-name Post-Its on ob"
2727,952726,cleanqwen_fineweb_compact_view_reinvest,through,32,sure,4774,country,2383,1,-10.02795261144638,-0.7696840167045593,-1.1530567109584808,9.258268594741821,0.3833726942539215,4051,2543,1521,702,True,False,False,False,"Sure, our country may be going through a rough patch now, but compared to what the Second World War era was like, we are indeed fortunate. Though our country faces trouble now, we are fortunate compared to the Second World War era. Testing shows that older air bags in places with hot and humid weather are more likely to have an air bag that could explode. Hot, humid weather makes older air bags more likely to explode. In 1229, Fang Bangrong moved"
2750,952749,cleanqwen_fineweb_compact_view_reinvest,over,11,given,1919,percent,505,11,-2.707386016845703,6.358201205730438,7.138222962617874,9.065587222576141,-0.7800217568874359,51,4284,9,2463,False,False,True,True,"Given that over 20 percent of all mammal species are bats, they are assiduously sought as a source of food in areas where food production remains challenging. Because over 20 percent of mammal species are bats, people seek them for food where production is challenging. The problem is that politicians often do not understand economics any more than their constituents do. Politicians often understand economics no more than their constituents do. Ch"
2814,952813,cleanqwen_fineweb_compact_view_reinvest,before,35,fish,1344,thou,881,8,-2.663022041320801,-0.33873987197875977,1.3579721450805664,2.324282169342041,-1.6967120170593262,66,46,11,50,True,True,False,True,"The exhibition considers the war in its international context and includes portraits of the major British generals who fought. The exhibition considers the war internationally and includes portraits of major British generals who fought. For example, unwanted goods can be donated to charity shops, and rechargeable batteries can be used hundreds of times before they need to be replaced. Unwanted goods go to charity shops, and rechargeable batteries"
2889,952888,cleanqwen_fineweb_compact_view_reinvest,outside,51,louis,407,born,3696,5,-5.147101879119873,14.576675176620483,14.3532794713974,19.723777055740356,0.2233957052230835,1,3789,1,3811,False,False,True,False,"Louis Braille was born in 1809 in a small village outside of Paris. Louis Braille was born in 1809 near Paris. The meaning of Czech come may come from a craft, such as the name ""Fisher"" which was given to fishermen. Czech ""come"" may come from craft names like ""Fisher"" for fishermen. The emergence of antibiotic resistant strains of this pathogen is of concern to food processors, including the produce, poultry, and oyster industries. Food processor"
2890,952889,cleanqwen_fineweb_compact_view_reinvest,after,78,researchers,381,subjects,207,1,-5.816438674926758,4.260863959789276,6.2855775356292725,10.077302634716034,-2.0247135758399963,69,1785,3,1009,False,False,True,True,"Researchers compared the results and found that while subjects behaved similarly after drinking and losing sleep, those who felt the effects the most were also the ones with the lowest tolerances for alcohol. Researchers found that while subjects acted similarly after drinking and losing sleep, those feeling effects most had lowest alcohol tolerance. Early demonstrations of the sensor networks used high-altitude balloons to loft a mid-size drone "
2906,952905,cleanqwen_fineweb_compact_view_reinvest,longer,49,people,12507,living,1688,6,1.992009162902832,2.813479423522949,0.9926652908325195,0.8214702606201172,1.8208141326904297,7,55,13,30,False,False,False,False,"People who lived at home tended to live slightly longer than those living in a nursing home, though the differences were not statistically significant. Home residents lived slightly longer than nursing home residents, though the difference was not statistically significant. Among the nuts varieties walnuts are considered dangerous for cats but there are some safe versions of nuts such as hazelnuts or pine nuts. Walnuts are dangerous for cats, but"
2907,952906,cleanqwen_fineweb_compact_view_reinvest,push,69,land,1672,common,1065,24,-5.159088045358658,12.311197280883789,9.19947338104248,17.470285326242447,3.1117238998413086,1,1579,1,592,False,False,True,False,"Land trusts in headwater states have also found that brook trout can push private landowners to conserve, and Goal Implementation Team partners-the U.S. Land trusts in headwater states found brook trout push private landowners to conserve, and Goal Implementation Team partners-the U.S. In an astonishing irony, in 1860 the entire Palace was destroyed and looted by British and French troops as part of military actions of the Second Opium War. In 18"
2925,952924,cleanqwen_fineweb_compact_view_reinvest,more,71,children,3675,people,12507,3,-6.702844619750977,-3.5981011390686035,-2.5367698669433594,3.104743480682373,-1.0613312721252441,397,38,419,81,True,False,False,True,"Children who were considered well-behaved and able to pay attention were more likely to be higher achievers than those who were inattentive. Well-behaved, attentive children were higher achievers than inattentive children. There is still much to learn about the benefits and pitfalls of intermittent fasting. We still learn much about intermittent fasting benefits and pitfalls. Title I funds are used to expand and supplement the services children a"
3017,12961,childes,around,65,noise,1578,points,2075,1,-2.2656259536743164,0.13117218017578125,1.788106918334961,2.3967981338500977,-1.6569347381591797,15,18,15,29,False,True,False,True,Kid. [stuff going on in other room] *MOT: Sis will you xxx room please. *SIS2: Sis. *SIS3: what? [noise] *CHI: Kid! *CHI: gimme my purple balloon back. [aft runs around] *CHI: Sis! *CHI: xxx the yellow one's yours too. [talk of many kids] *CHI: xxx go to McDonalds. *SIS3: we didn't. *SIS2: we found the purple balloons on the ground right? *CHI: you xxx you don't needta do this. *SIS2: no she xxx. [many kids; I think the kids come back to the tabl
3017,12961,childes,around,57,talk,3932,sounds,1437,1,-8.595629453659058,-8.048061609268188,-7.665622711181641,0.5475678443908691,-0.38243889808654785,987,2,1096,3,True,False,False,False,Kid. [stuff going on in other room] *MOT: Sis will you xxx room please. *SIS2: Sis. *SIS3: what? [noise] *CHI: Kid! *CHI: gimme my purple balloon back. [aft runs around] *CHI: Sis! *CHI: xxx the yellow one's yours too. [talk of many kids] *CHI: xxx go to McDonalds. *SIS3: we didn't. *SIS2: we found the purple balloons on the ground right? *CHI: you xxx you don't needta do this. *SIS2: no she xxx. [many kids; I think the kids come back to the tabl
3020,15254,childes,over,20,puts,1421,places,1352,2,2.5979557037353516,3.8668603897094727,4.670245170593262,1.268904685974121,-0.8033847808837891,1,3,1,9,False,False,False,True,hey! *CHI: wh what's this? *MOT: I don't know. *CHI: it's a dingerhopper. [name drawn out] *MOT: a what? *CHI: a dingerhopper. %int: whispered *MOT: something pop. *CHI: it's a dingerhopper. %int: normal voice *MOT: a thinger hot pot? *CHI: a look do you know when Ariel [the Little Mermaid] says dingerhopper? *CHI: what do these do? *MOT: what are those? *CHI: jewels. *MOT: jewels? *CHI: I'm gonna put them all over these people. [puts necklace on
3023,47874,open_subtitles,right,32,single,1550,head,4595,9,-4.727046966552734,0.6045353412628174,-0.9764683246612549,5.331582307815552,1.5810036659240723,136,252,171,58,False,False,True,False,"single blow to the forehead. All right now, I'm thinking that we should place the melons at exactly five-foot-11, which was the victim's height. Now, we should devise a plan to pull the cantaloupe away because he most likely saw the knife coming... Okay, fine. You know, we used to think things through together. Oh, I-I apologize. It's possible that my time in Iraq transformed me into a man of action. I'll watch out for that. Looks like we found t"
3024,7301,childes,same,62,orange,900,grape,151,4,-2.7295150756835938,3.138286590576172,3.2343978881835938,5.867801666259766,-0.09611129760742188,1,2,1,4,False,False,True,False,orange juice for two days. *CHI: uh yeah. *CHI: 'n' I had eggs same thing. *CHI: uh I get the same thing. *CHI: I have... *MOT: want some orange juice? *MOT: Melissa? *MEL: oh. *MEL: no thank you. *CHI: orange juice taste good. *MOT: oh dear. *MEL: good for shoes too huh? *CHI: uhhuh. *CHI: [makes noises] *CHI: [makes a noise]. *MOT: gettin' old though. *MEL: how old? *MOT: he's two we've had her about a year 'n' she was over a year 'n' a week xx
3027,27393,gutenberg,over,67,yellow,2394,little,16792,5,-5.05215311050415,3.828573226928711,6.173575401306152,8.880726337432861,-2.3450021743774414,1,2,1,19,False,False,True,True,"good deal of shame that he was sometimes as inactive in a good cause as the ""yellow men"" themselves. So they sat in the woods talking the matter over until the last rays of the sun fell through the thick leaves and warned them home. Then they took their baskets and turned their faces homeward. Guy saying, ""Well then, we are agreed all of us to begin the lives now, to which the 'yellow men' were doomed for their idleness and presumption. Hencefort"
3029,39276,open_subtitles,through,29,stay,2739,right,19195,1,-4.756927490234375,-1.666027545928955,-1.7910442352294922,3.09089994430542,0.1250166893005371,18,5,23,7,True,False,False,False,"stay here, in case he comes through one of these windows. Sounds like you're taking the heavy part of the job. Believe me, Bill, I won't get hurt. You, of all people, should know that I can take care of myself. - Okay. - Right. Please, I'll give the money back. I just needed new equipment for my experiments. So you used your invention to change the outcome of football games... and you bet against the teams you tampered with. All right, I admit it"
3038,16732,childes,first,5,full,2183,shakes,245,4,1.1690244674682617,1.5940113067626953,2.0347843170166016,0.4249868392944336,-0.44077301025390625,1,4,2,4,False,False,False,False,what you were gonna say? *CHI: yep! *CHI: I am thankful for the Indians because they show you... *MOT: if you were a what? *CHI: if I were a Pilgrim I would be thankful for the Indians because they show you how to plant corn and tomatoes and they tell you how to live off... *BRO: [kicks something repeatedly and noisily] *MOT: Bro stop it! [BRO stops a few seconds later] *CHI: and they show you how to live off the land. *MOT: that what the Indians
3045,14147,childes,holds,29,grunts,258,laughs,8704,1,-4.551030158996582,-2.418292999267578,-2.618412971496582,2.132737159729004,0.2001199722290039,6,2,4,1,True,False,False,False,"it [? okay]. *MOT: put 'em in. *CHI: oh. *MOT: [gasps]! *MOT: try it. [MOT and Chi throw things on the big magnet.] *CHI: I'm gonna have that on there. *CHI: I'm gonna have another one. *MOT: another one xxx. *MOT: uhoh. *CHI: oh! *MOT: yeah. *CHI: how about this one? [tries to stick a dime] *MOT: I think the money doesn't xxx. *CHI: ah get off hey. %int: high-pitched squeal, but a mellow squeal *MOT: get it off. %int: soft but urgent *MOT: get i"
3045,14147,childes,throw,35,gasps,327,laughs,8704,1,-4.295620918273926,-0.11760807037353516,-1.5833120346069336,4.178012847900391,1.4657039642333984,2,1,3,1,True,True,False,False,"it [? okay]. *MOT: put 'em in. *CHI: oh. *MOT: [gasps]! *MOT: try it. [MOT and Chi throw things on the big magnet.] *CHI: I'm gonna have that on there. *CHI: I'm gonna have another one. *MOT: another one xxx. *MOT: uhoh. *CHI: oh! *MOT: yeah. *CHI: how about this one? [tries to stick a dime] *MOT: I think the money doesn't xxx. *CHI: ah get off hey. %int: high-pitched squeal, but a mellow squeal *MOT: get it off. %int: soft but urgent *MOT: get i"
