pair_id,category,pivot_norm_a,target_norm_a,target_norm_b,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,left_distance,right_distance,between_content_count,row_a,source_a
p0000933,temporal,when,hour,second,content,2,1001+,1001+,1,3,2,1555,open_subtitles
p0000934,causal_connector,if,ones,send,content,1,1001+,1001+,2,8,4,1556,bnc_spoken
p0000935,spatial,above,mentioned,formed,verbish,1,251-500,501-1000,1,3,2,1560,fw_preserved_compact_view
p0000936,temporal,during,took,past,content,1,1001+,1001+,2,2,2,1560,fw_preserved_compact_view
p0000937,spatial,toward,france,german,capitalized,1,1001+,501-1000,1,2,1,1562,fw_preserved_compact_view
p0000938,spatial,through,american,germany,capitalized,1,1001+,501-1000,3,3,5,1562,fw_preserved_compact_view
p0000939,spatial,into,came,mind,content,1,1001+,1001+,1,2,1,1563,gutenberg
p0000940,temporal,when,form,himself,content,1,1001+,1001+,7,3,3,1563,gutenberg
p0000941,spatial,against,little,best,content,1,1001+,1001+,6,8,6,1564,open_subtitles
p0000942,temporal,once,met,must,content,1,1001+,1001+,2,2,1,1565,gutenberg
p0000943,temporal,after,short,met,content,1,1001+,1001+,2,2,2,1565,gutenberg
p0000944,temporal,until,russian,may,capitalized,1,501-1000,1001+,3,1,2,1569,simple_wiki
p0000945,causal_connector,because,engine,car,content,1,251-500,1001+,1,2,1,1572,childes
p0000946,causal_connector,because,engine,car,content,1,251-500,1001+,1,2,1,1572,childes
p0000947,causal_connector,if,about,head,content,1,1001+,1001+,2,2,1,1574,gutenberg
p0000948,temporal,when,wait,own,content,1,1001+,1001+,4,6,4,1574,gutenberg
p0000949,temporal,before,hope,end,content,1,1001+,1001+,5,2,2,1576,bnc_spoken
p0000950,temporal,when,erm,about,content,1,1001+,1001+,4,3,3,1576,bnc_spoken
p0000951,temporal,when,begin,meetings,content,1,501-1000,101-250,3,1,1,1581,open_subtitles
p0000952,causal_connector,if,alright,keeps,content,1,1001+,251-500,1,2,1,1583,childes
p0000953,causal_connector,because,they're,trees,content,2,1001+,1001+,4,7,5,1584,gutenberg
p0000954,temporal,once,tree,down,content,1,1001+,1001+,2,8,4,1584,gutenberg
p0000955,causal_connector,if,must,meet,content,1,1001+,1001+,2,4,2,1589,open_subtitles
p0000956,causal_connector,if,looked,taken,verbish,1,1001+,1001+,4,5,3,1591,gutenberg
p0000957,spatial,within,burned,warming,verbish,1,251-500,101-250,1,2,1,1591,gutenberg
p0000958,causal_connector,because,black,made,content,1,1001+,1001+,3,3,3,1595,childes
p0000959,spatial,outside,done,ball,content,2,1001+,1001+,5,6,2,1597,childes
p0000960,temporal,after,share,will,content,1,501-1000,1001+,3,3,3,1601,gutenberg
p0000961,spatial,behind,tea,marcia,capitalized,2,1001+,251-500,4,1,3,1601,gutenberg
p0000962,causal_connector,if,floor,you're,content,2,1001+,1001+,3,1,2,1603,childes
p0000963,temporal,when,view,star,content,1,501-1000,501-1000,5,7,5,1605,open_subtitles
p0000964,spatial,into,gods,star,content,1,251-500,501-1000,5,3,4,1605,open_subtitles
p0000965,temporal,when,cracked,ripped,verbish,1,51-100,51-100,2,2,1,1606,childes
p0000966,spatial,behind,steps,proud,content,1,251-500,501-1000,1,5,3,1607,gutenberg
p0000967,comparative,higher,lengthened,pitched,verbish,1,501-1000,251-500,2,1,1,1609,childes
p0000968,causal_connector,if,alright,hungry,content,1,1001+,1001+,1,3,2,1609,childes
p0000969,causal_connector,because,starts,fit,content,1,501-1000,501-1000,3,3,3,1611,childes
p0000970,spatial,under,fit,doll,content,1,501-1000,501-1000,3,5,4,1611,childes
p0000971,temporal,when,woods,cut,content,1,501-1000,1001+,1,2,1,1613,childes
p0000972,spatial,outside,wants,mommy,content,1,1001+,1001+,3,2,1,1616,childes
p0000973,spatial,under,hold,value,content,1,1001+,251-500,3,5,3,1618,qwen_pair_packed
p0000974,temporal,before,months,ever,content,1,1001+,1001+,1,4,3,1619,open_subtitles
p0000975,temporal,until,goes,hit,content,1,1001+,1001+,4,2,2,1621,childes
p0000976,temporal,until,mean,hit,content,1,1001+,1001+,1,2,1,1621,childes
p0000977,causal_connector,because,that's,spoon,content,2,1001+,501-1000,1,6,3,1622,childes
p0000978,causal_connector,because,chair,white,content,1,1001+,1001+,1,3,1,1623,childes
p0000979,spatial,into,plans,internet,content,1,251-500,251-500,4,3,4,1625,fw_preserved_compact_view
p0000980,spatial,towards,north,main,content,1,1001+,1001+,1,1,1,1626,open_subtitles
p0000981,spatial,through,shot,body,content,1,501-1000,1001+,1,2,1,1630,gutenberg
p0000982,temporal,until,safe,whoever,content,1,501-1000,101-250,1,1,1,1631,open_subtitles
p0000983,causal_connector,if,guys,remember,content,1,1001+,1001+,5,4,4,1632,open_subtitles
p0000984,temporal,after,wrong,where's,content,2,1001+,1001+,4,4,3,1632,open_subtitles
p0000985,causal_connector,if,asleep,pretend,content,2,251-500,501-1000,2,3,3,1633,open_subtitles
p0000986,spatial,within,seated,hoping,verbish,1,101-250,251-500,1,2,1,1634,gutenberg
p0000987,spatial,between,few,blue,content,1,1001+,1001+,2,2,2,1635,gutenberg
p0000988,temporal,when,found,house,content,1,1001+,1001+,2,4,2,1635,gutenberg
p0000989,causal_connector,if,made,stay,content,1,1001+,1001+,4,5,4,1636,open_subtitles
p0000990,temporal,after,jon,morgan,capitalized,1,101-250,101-250,3,8,4,1636,open_subtitles
p0000991,temporal,during,killer,late,content,1,251-500,1001+,2,2,2,1638,simple_wiki
p0000992,causal_connector,if,face,known,content,1,1001+,1001+,4,4,3,1640,qwen_pair_packed
p0000993,causal_connector,if,distress,ill,content,2,101-250,251-500,2,3,1,1641,open_subtitles
p0000994,causal_connector,if,tourist,don’t,content,2,51-100,251-500,1,2,1,1643,gutenberg
p0000995,causal_connector,though,held,met,content,1,1001+,1001+,6,3,5,1645,gutenberg
p0000996,temporal,before,easy,boys,content,1,1001+,1001+,5,4,1,1647,gutenberg
p0000997,comparative,worse,over,either,content,1,1001+,1001+,7,2,3,1649,gutenberg
p0000998,comparative,than,over,either,content,1,1001+,1001+,8,1,3,1649,gutenberg
p0000999,temporal,after,western,margaret,capitalized,1,501-1000,251-500,2,1,2,1651,simple_wiki
p0001000,spatial,through,plates,deep,content,1,251-500,501-1000,2,7,5,1654,gutenberg
p0001001,spatial,through,plates,deep,content,1,251-500,501-1000,4,5,5,1654,gutenberg
p0001002,comparative,than,rather,true,content,1,1001+,1001+,1,2,1,1655,gutenberg
p0001003,spatial,into,ourselves,frame,content,1,251-500,101-250,2,2,2,1656,qwen_pair_packed
p0001004,temporal,when,could,wood,content,1,1001+,501-1000,5,4,4,1656,qwen_pair_packed
p0001005,temporal,once,wan,stop,content,2,501-1000,1001+,6,6,4,1658,childes
p0001006,causal_connector,because,might,away,content,1,1001+,1001+,5,5,4,1661,bnc_spoken
p0001007,temporal,when,erm,away,content,1,1001+,1001+,1,3,1,1661,bnc_spoken
p0001008,causal_connector,because,death,requires,content,1,1001+,251-500,1,3,2,1663,fw_preserved_compact_view
p0001009,temporal,once,type,out,content,1,501-1000,1001+,2,9,4,1664,open_subtitles
p0001010,temporal,before,i've,i'm,capitalized,2,1001+,1001+,4,3,3,1666,open_subtitles
p0001011,temporal,after,homework,supper,content,1,101-250,501-1000,2,1,2,1668,childes
p0001012,causal_connector,if,out,waste,content,1,1001+,251-500,9,8,6,1672,bnc_spoken
p0001013,temporal,after,even,often,verbish,1,1001+,1001+,1,5,2,1673,gutenberg
p0001014,causal_connector,if,eyes,mean,content,2,1001+,1001+,1,5,1,1673,gutenberg
p0001015,comparative,larger,moon,soon,content,1,1001+,1001+,5,4,4,1674,qwen_pair_packed
p0001016,comparative,larger,moon,back,content,1,1001+,1001+,7,5,5,1674,qwen_pair_packed
p0001017,temporal,before,woman,herself,content,1,1001+,1001+,5,4,3,1676,gutenberg
p0001018,spatial,through,palace,wall,content,2,251-500,1001+,2,6,5,1676,gutenberg
p0001019,causal_connector,if,too,wants,content,1,1001+,1001+,3,2,2,1679,gutenberg
p0001020,spatial,inside,princess,water,content,2,501-1000,1001+,1,7,3,1684,gutenberg
p0001021,comparative,better,days,gods,content,1,1001+,251-500,5,3,4,1684,gutenberg
p0001022,causal_connector,if,talk,gives,content,1,1001+,501-1000,1,2,2,1685,qwen_pair_packed
p0001023,causal_connector,because,confident,rats,content,1,101-250,51-100,5,5,5,1685,qwen_pair_packed
p0001024,spatial,into,chocolate,pieces,content,1,501-1000,501-1000,1,1,1,1688,childes
p0001025,comparative,than,guns,other,content,1,251-500,1001+,1,1,1,1696,qwen_pair_packed
p0001026,comparative,than,guns,other,content,1,251-500,1001+,1,1,1,1696,qwen_pair_packed
p0001027,spatial,through,killer's,spectrum,content,2,26-50,51-100,2,2,2,1697,open_subtitles
p0001028,causal_connector,if,jupiter,mars,content,2,101-250,101-250,1,3,3,1698,open_subtitles
p0001029,temporal,since,edge,december,capitalized,1,251-500,1001+,5,1,2,1700,simple_wiki
p0001030,spatial,against,dark,man,content,1,1001+,1001+,1,3,2,1701,open_subtitles
p0001031,temporal,when,story,nothing,capitalized,1,1001+,1001+,1,2,1,1707,childes
p0001032,causal_connector,if,years,you're,content,2,1001+,1001+,2,1,1,1708,childes
p0001033,causal_connector,because,yep,you're,content,2,1001+,1001+,2,1,1,1708,childes
p0001034,causal_connector,if,drink,whatever,content,1,1001+,1001+,5,4,4,1709,open_subtitles
p0001035,spatial,into,circles,punch,content,1,101-250,101-250,2,6,3,1711,childes
p0001036,causal_connector,because,wagon,love,content,1,251-500,1001+,1,2,1,1711,childes
p0001037,spatial,through,eye,watch,content,1,1001+,1001+,4,3,2,1712,gutenberg
p0001038,spatial,above,wonder,side,content,1,1001+,1001+,4,4,3,1712,gutenberg
p0001039,temporal,since,ever,saw,content,1,1001+,1001+,1,2,1,1713,gutenberg
p0001040,temporal,after,later,nap,content,1,1001+,251-500,3,2,2,1714,childes
p0001041,temporal,after,they'll,nap,content,2,501-1000,251-500,5,2,3,1714,childes
p0001042,causal_connector,because,reason,lunch,content,1,1001+,1001+,7,4,3,1718,qwen_pair_packed
p0001043,comparative,than,louder,band,content,1,101-250,501-1000,1,2,1,1719,gutenberg
p0001044,comparative,than,louder,sounds,content,1,101-250,501-1000,1,2,1,1719,gutenberg
p0001045,comparative,better,legs,boy,content,1,501-1000,1001+,2,2,1,1720,gutenberg
p0001046,spatial,into,whenever,follow,content,1,251-500,501-1000,3,4,3,1720,gutenberg
p0001047,causal_connector,because,out,ride,content,2,1001+,1001+,3,5,1,1721,open_subtitles
p0001048,causal_connector,if,second,newspaper,content,1,1001+,251-500,3,5,3,1726,bnc_spoken
p0001049,temporal,when,looks,each,content,1,1001+,1001+,5,9,4,1729,childes
p0001050,spatial,into,governor,hotel,content,1,501-1000,251-500,2,1,2,1730,open_subtitles
p0001051,causal_connector,if,agenda,facts,content,2,51-100,101-250,5,5,3,1730,open_subtitles
p0001052,spatial,within,book,class,content,1,1001+,501-1000,1,2,1,1733,gutenberg
p0001053,temporal,when,rather,came,content,1,1001+,1001+,2,2,2,1734,gutenberg
p0001054,comparative,less,run,hours,content,1,1001+,1001+,4,3,5,1738,simple_wiki
p0001055,comparative,than,run,hours,content,1,1001+,1001+,5,2,5,1738,simple_wiki
p0001056,comparative,than,taste,kinds,content,1,501-1000,251-500,4,2,4,1740,simple_wiki
p0001057,temporal,until,little,few,content,1,1001+,1001+,4,5,3,1742,gutenberg
p0001058,temporal,when,yards,utter,content,1,101-250,51-100,2,4,3,1742,gutenberg
p0001059,temporal,when,stood,set,content,1,1001+,1001+,3,3,3,1744,qwen_pair_packed
p0001060,temporal,while,stood,set,content,1,1001+,1001+,3,3,3,1744,qwen_pair_packed
p0001061,causal_connector,because,wheels,corners,content,2,251-500,101-250,2,3,2,1746,childes
p0001062,temporal,before,hey,baby,content,1,1001+,1001+,6,5,2,1747,childes
p0001063,spatial,towards,base,yellow,content,1,1001+,1001+,4,2,3,1748,qwen_pair_packed
p0001064,spatial,onto,black,washer,content,1,1001+,251-500,2,10,5,1748,qwen_pair_packed
p0001065,spatial,through,either,phone,content,1,1001+,1001+,1,3,2,1749,fw_preserved_compact_view
p0001066,spatial,toward,vessel,black,content,1,251-500,1001+,4,3,3,1751,gutenberg
p0001067,temporal,once,phone,you've,content,2,1001+,1001+,1,1,1,1754,bnc_spoken
p0001068,causal_connector,if,price,thousand,content,1,501-1000,1001+,1,3,2,1754,bnc_spoken
p0001069,causal_connector,if,care,found,content,1,1001+,1001+,1,2,1,1755,open_subtitles
p0001070,temporal,when,away,brother,content,1,1001+,1001+,8,2,5,1755,open_subtitles
p0001071,temporal,during,bacteria,warm,content,1,101-250,501-1000,1,1,1,1756,fw_preserved_compact_view
p0001072,comparative,more,over,spare,content,2,1001+,251-500,2,5,3,1758,open_subtitles
p0001073,comparative,than,over,spare,content,2,1001+,251-500,3,4,3,1758,open_subtitles
p0001074,temporal,before,bread,made,content,1,501-1000,1001+,3,4,2,1759,gutenberg
p0001075,comparative,more,heard,district,content,1,1001+,1001+,1,7,4,1761,bnc_spoken
p0001076,comparative,than,heard,district,content,1,1001+,1001+,2,6,4,1761,bnc_spoken
p0001077,spatial,through,must,rest,content,1,1001+,1001+,2,1,1,1763,fw_preserved_compact_view
p0001078,spatial,towards,head,off,content,1,1001+,1001+,1,5,3,1765,open_subtitles
p0001079,temporal,since,minute,down,content,1,1001+,1001+,4,4,3,1768,gutenberg
p0001080,temporal,when,about,set,content,1,1001+,1001+,5,2,3,1768,gutenberg
p0001081,causal_connector,because,out,disease,content,1,1001+,501-1000,3,8,4,1770,fw_preserved_compact_view
p0001082,causal_connector,because,out,must,content,1,1001+,1001+,3,2,2,1770,fw_preserved_compact_view
p0001083,temporal,when,forest,other,content,1,501-1000,1001+,3,9,3,1771,gutenberg
p0001084,temporal,while,around,away,content,1,1001+,1001+,6,4,5,1771,gutenberg
p0001085,spatial,through,services,separate,content,1,501-1000,251-500,1,1,1,1772,qwen_pair_packed
p0001086,causal_connector,if,always,house,content,1,1001+,1001+,4,4,2,1773,childes
p0001087,temporal,when,says,big,content,1,1001+,1001+,1,4,1,1773,childes
p0001088,causal_connector,because,sleep,came,content,1,1001+,1001+,4,5,5,1774,childes
p0001089,spatial,into,father,knew,content,1,1001+,1001+,3,4,4,1777,open_subtitles
p0001090,temporal,before,battle,knew,content,1,501-1000,1001+,1,2,1,1777,open_subtitles
p0001091,causal_connector,because,art,appropriate,content,1,501-1000,101-250,2,5,2,1778,fw_preserved_compact_view
p0001092,spatial,through,town,gate,content,2,1001+,251-500,3,4,4,1780,gutenberg
p0001093,causal_connector,because,light,still,content,1,1001+,1001+,2,2,3,1782,childes
p0001094,causal_connector,if,clothes,light,content,1,501-1000,1001+,2,5,4,1782,childes
p0001095,spatial,through,grade,mysteries,content,2,101-250,26-50,1,3,1,1786,gutenberg
p0001096,comparative,than,rather,parties,content,1,1001+,251-500,1,2,1,1786,gutenberg
p0001097,spatial,under,technology,bill,capitalized,1,251-500,501-1000,2,2,3,1788,simple_wiki
p0001098,causal_connector,if,feel,blame,content,1,1001+,251-500,2,4,1,1790,gutenberg
p0001099,comparative,more,fault,anybody,content,1,251-500,501-1000,1,2,2,1790,gutenberg
p0001100,causal_connector,if,decision,you're,content,2,251-500,1001+,1,1,1,1791,open_subtitles
p0001101,spatial,into,wonder,world,content,1,1001+,1001+,2,2,2,1792,open_subtitles
p0001102,comparative,smaller,castle,house,content,1,501-1000,1001+,3,3,3,1793,qwen_pair_packed
p0001103,causal_connector,if,duties,employer,content,2,101-250,51-100,1,2,1,1795,qwen_pair_packed
p0001104,spatial,against,statement,marriage,nominal,1,251-500,251-500,1,3,2,1800,qwen_pair_packed
p0001105,temporal,before,france,russia,capitalized,1,1001+,501-1000,4,1,2,1804,gutenberg
p0001106,spatial,through,march,war,content,1,1001+,1001+,2,5,4,1804,gutenberg
p0001107,comparative,better,sex,idea,content,2,251-500,1001+,8,4,4,1805,gutenberg
p0001108,temporal,once,saw,life,content,1,1001+,1001+,2,3,1,1805,gutenberg
p0001109,spatial,through,walk,fire,content,1,1001+,1001+,1,1,1,1806,open_subtitles
p0001110,temporal,when,should,girls,content,1,1001+,1001+,5,2,4,1809,gutenberg
p0001111,spatial,under,sharp,significant,content,1,251-500,251-500,2,5,3,1810,gutenberg
p0001112,spatial,into,out,unknown,content,1,1001+,251-500,1,2,1,1812,qwen_pair_packed
p0001113,spatial,into,far,world,content,2,1001+,1001+,2,3,3,1812,qwen_pair_packed
p0001114,temporal,after,mind,matter,content,1,1001+,1001+,7,3,6,1816,qwen_pair_packed
p0001115,spatial,beside,found,throne,content,1,1001+,251-500,3,2,2,1817,gutenberg
p0001116,spatial,into,will,woman,content,1,1001+,1001+,2,3,3,1818,qwen_pair_packed
p0001117,spatial,into,will,woman,content,1,1001+,1001+,2,3,3,1818,qwen_pair_packed
p0001118,temporal,when,out,met,content,1,1001+,1001+,1,3,2,1819,gutenberg
p0001119,spatial,into,went,study,content,1,1001+,1001+,1,3,2,1820,gutenberg
p0001120,temporal,when,basket,door,content,1,251-500,1001+,2,7,3,1820,gutenberg
p0001121,causal_connector,if,finish,done,content,1,1001+,1001+,4,3,3,1823,childes
p0001122,temporal,before,solve,widespread,content,1,101-250,101-250,3,3,3,1824,open_subtitles
p0001123,spatial,into,down,head,content,1,1001+,1001+,1,5,1,1825,gutenberg
p0001124,spatial,inside,little,too,content,1,1001+,1001+,4,1,2,1826,childes
p0001125,temporal,since,harm,mind,content,1,251-500,1001+,3,7,3,1827,gutenberg
p0001126,spatial,into,harm,might,content,1,251-500,1001+,8,5,4,1827,gutenberg
p0001127,spatial,across,then,wanted,verbish,1,1001+,1001+,3,5,4,1828,childes
p0001128,causal_connector,because,room,birthday,content,1,1001+,1001+,1,7,2,1828,childes
p0001129,causal_connector,if,wanted,tied,verbish,1,1001+,251-500,3,7,3,1829,open_subtitles
p0001130,causal_connector,if,wanted,tied,verbish,1,1001+,251-500,8,2,3,1829,open_subtitles
p0001131,comparative,more,purpose,thought,content,1,251-500,1001+,5,4,4,1830,gutenberg
p0001132,comparative,than,purpose,thought,content,1,251-500,1001+,6,3,4,1830,gutenberg
p0001133,spatial,under,says,skin,content,1,1001+,501-1000,6,2,2,1831,gutenberg
p0001134,temporal,when,plans,returns,content,1,251-500,101-250,3,2,2,1834,qwen_pair_packed
p0001135,spatial,against,senate,senator,capitalized,1,251-500,101-250,1,2,2,1834,qwen_pair_packed
p0001136,temporal,when,over,speak,content,2,1001+,1001+,1,3,2,1835,simple_wiki
p0001137,spatial,inside,what's,bag,content,2,1001+,501-1000,1,2,1,1836,childes
p0001138,temporal,after,feel,sister,content,1,1001+,1001+,5,4,2,1837,gutenberg
p0001139,comparative,better,might,both,content,1,1001+,1001+,2,3,2,1840,childes
p0001140,causal_connector,if,might,wrote,content,1,1001+,1001+,3,3,3,1840,childes
p0001141,spatial,toward,rushed,sudden,verbish,1,251-500,251-500,1,3,1,1842,gutenberg
p0001142,temporal,while,short,such,content,1,1001+,1001+,1,2,2,1842,gutenberg
p0001143,spatial,toward,narrative,dramatic,adjectival,1,51-100,101-250,1,2,1,1845,qwen_pair_packed
p0001144,temporal,once,dog,whatever,content,1,1001+,1001+,1,4,2,1845,qwen_pair_packed
p0001145,spatial,onto,stick,lay,content,1,1001+,1001+,2,10,5,1849,childes
p0001146,spatial,within,rockfort,ucchi,capitalized,3,6-10,6-10,2,3,2,1850,qwen_pair_packed
p0001147,comparative,better,soon,school,content,1,1001+,1001+,10,1,4,1851,gutenberg
p0001148,temporal,when,feel,hafta,content,1,1001+,1001+,5,5,3,1855,childes
p0001149,temporal,after,corner,pass,content,1,501-1000,501-1000,1,2,1,1857,gutenberg
p0001150,spatial,between,consists,physician,content,1,101-250,101-250,3,5,3,1858,fw_preserved_compact_view
p0001151,causal_connector,though,sounds,example,content,1,501-1000,501-1000,2,5,2,1859,childes
p0001152,causal_connector,if,home,you're,content,2,1001+,1001+,2,1,1,1860,open_subtitles
p0001153,temporal,when,out,down,content,1,1001+,1001+,4,4,3,1861,childes
p0001154,spatial,toward,hills,divide,content,1,251-500,51-100,3,2,3,1863,fw_preserved_compact_view
p0001155,temporal,during,china,world,capitalized,1,501-1000,1001+,1,1,1,1866,simple_wiki
p0001156,causal_connector,because,race,win,content,1,501-1000,501-1000,1,3,2,1867,bnc_spoken
p0001157,temporal,before,point,round,content,1,1001+,1001+,2,3,2,1868,qwen_pair_packed
p0001158,comparative,more,about,money,content,2,1001+,1001+,1,3,3,1870,open_subtitles
p0001159,comparative,than,about,money,content,2,1001+,1001+,2,2,3,1870,open_subtitles
p0001160,temporal,before,terrible,natural,adjectival,1,501-1000,501-1000,2,3,2,1871,gutenberg
p0001161,comparative,greater,find,power,content,1,1001+,1001+,4,1,2,1873,open_subtitles
p0001162,temporal,when,worry,done,content,1,501-1000,1001+,1,2,2,1875,childes
p0001163,spatial,behind,cap,sat,content,1,251-500,1001+,4,2,2,1878,gutenberg
p0001164,causal_connector,because,laugh,heart,content,1,501-1000,1001+,2,2,2,1878,gutenberg
p0001165,spatial,into,small,key,content,1,1001+,501-1000,5,2,3,1880,fw_preserved_compact_view
p0001166,temporal,once,river,harm,content,2,1001+,251-500,5,8,6,1884,open_subtitles
p0001167,causal_connector,because,river,harm,content,2,1001+,251-500,10,3,6,1884,open_subtitles
p0001168,causal_connector,if,let's,roll,content,2,1001+,501-1000,2,2,1,1885,childes
p0001169,causal_connector,if,mean,true,content,2,1001+,1001+,2,3,1,1886,open_subtitles
p0001170,temporal,when,fever,kiss,content,1,101-250,251-500,3,2,3,1888,open_subtitles
p0001171,temporal,when,kiss,tight,content,1,251-500,101-250,4,4,4,1888,open_subtitles
p0001172,comparative,more,holiday,eager,content,1,251-500,101-250,6,1,2,1889,qwen_pair_packed
p0001173,spatial,into,phrase,key,content,2,101-250,501-1000,4,3,3,1889,qwen_pair_packed
p0001174,temporal,when,myself,hope,content,1,1001+,1001+,3,4,2,1893,open_subtitles
p0001175,causal_connector,because,expect,must,content,1,501-1000,1001+,6,4,2,1894,gutenberg
p0001176,comparative,better,must,own,content,1,1001+,1001+,6,5,3,1894,gutenberg
p0001177,temporal,once,brief,three,content,1,251-500,1001+,2,8,4,1896,open_subtitles
p0001178,spatial,against,jones,jack,capitalized,1,101-250,501-1000,1,1,1,1897,simple_wiki
p0001179,temporal,after,decided,started,verbish,1,501-1000,1001+,5,2,2,1897,simple_wiki
p0001180,temporal,once,consideration,settlement,nominal,1,101-250,251-500,7,3,3,1900,bnc_spoken
p0001181,spatial,beyond,term,thousand,content,1,501-1000,1001+,2,2,2,1900,bnc_spoken
p0001182,temporal,when,stop,took,content,1,1001+,1001+,3,5,4,1902,gutenberg
p0001183,spatial,into,goes,gets,content,1,1001+,1001+,1,3,2,1911,childes
p0001184,spatial,under,today,guard,content,2,1001+,251-500,1,2,1,1913,open_subtitles
p0001185,temporal,before,sight,either,content,1,501-1000,1001+,1,4,3,1914,gutenberg
p0001186,spatial,behind,sight,either,content,1,501-1000,1001+,2,3,3,1914,gutenberg
p0001187,spatial,outside,sail,bow,content,1,101-250,251-500,2,2,2,1916,gutenberg
p0001188,spatial,into,canvas,narrow,content,1,51-100,251-500,3,1,2,1916,gutenberg
p0001189,causal_connector,though,still,answer,content,1,1001+,1001+,2,5,4,1917,bnc_spoken
p0001190,temporal,until,survive,final,adjectival,1,101-250,501-1000,1,3,2,1917,bnc_spoken
p0001191,spatial,between,patterns,tan,content,1,101-250,51-100,2,1,2,1918,simple_wiki
p0001192,spatial,into,away,foreign,content,1,1001+,251-500,1,1,1,1920,qwen_pair_packed
p0001193,temporal,during,per,period,content,1,501-1000,501-1000,2,2,2,1922,fw_preserved_compact_view
p0001194,temporal,while,per,state,content,1,501-1000,1001+,2,1,2,1922,fw_preserved_compact_view
p0001195,temporal,when,point,movie,content,1,1001+,1001+,5,5,5,1923,qwen_pair_packed
p0001196,temporal,when,transformed,starred,verbish,1,51-100,51-100,1,2,1,1923,qwen_pair_packed
p0001197,spatial,through,down,gate,content,1,1001+,251-500,4,2,2,1924,gutenberg
p0001198,spatial,towards,gate,mountain,content,1,251-500,501-1000,2,3,3,1924,gutenberg
p0001199,spatial,against,white,trees,content,1,1001+,1001+,2,3,3,1926,gutenberg
p0001200,temporal,when,bow,comrades,content,2,251-500,101-250,6,4,4,1927,open_subtitles
p0001201,temporal,once,clerk,twice,content,2,101-250,251-500,4,2,2,1928,gutenberg
p0001202,spatial,beyond,it's,clouds,content,2,1001+,251-500,2,6,3,1928,gutenberg
p0001203,temporal,since,carrier,cart,content,1,51-100,101-250,2,2,1,1933,gutenberg
p0001204,spatial,against,we've,again,content,2,1001+,1001+,4,2,3,1934,bnc_spoken
p0001205,temporal,before,members,sign,content,1,1001+,501-1000,1,2,1,1934,bnc_spoken
p0001206,temporal,after,spread,cities,content,1,501-1000,251-500,1,5,2,1935,simple_wiki
p0001207,temporal,after,father,death,content,2,1001+,1001+,1,2,1,1940,open_subtitles
p0001208,temporal,after,she's,class,content,2,1001+,501-1000,4,6,3,1941,childes
p0001209,causal_connector,because,becoming,dancing,verbish,1,251-500,501-1000,3,1,2,1943,qwen_pair_packed
p0001210,comparative,better,feel,excuse,content,1,1001+,1001+,1,3,2,1944,open_subtitles
p0001211,spatial,through,help,night,content,2,1001+,1001+,1,2,1,1945,gutenberg
p0001212,temporal,when,may,gone,content,1,1001+,1001+,3,4,3,1945,gutenberg
p0001213,spatial,between,forty,four,content,1,501-1000,1001+,1,2,2,1947,bnc_spoken
p0001214,spatial,between,about,down,content,1,1001+,1001+,2,8,3,1947,bnc_spoken
p0001215,temporal,after,bunch,few,content,1,251-500,1001+,6,4,4,1948,open_subtitles
p0001216,causal_connector,if,servants,tells,content,1,101-250,251-500,1,3,2,1950,gutenberg
p0001217,comparative,more,knows,ever,content,1,1001+,1001+,6,4,5,1951,gutenberg
p0001218,comparative,than,knows,ever,content,1,1001+,1001+,7,3,5,1951,gutenberg
p0001219,comparative,than,written,writing,verbish,1,1001+,1001+,6,7,7,1952,qwen_pair_packed
p0001220,comparative,than,narrower,clip,content,2,26-50,101-250,1,3,2,1954,fw_preserved_compact_view
p0001221,comparative,than,walls,clip,content,1,251-500,101-250,2,3,3,1954,fw_preserved_compact_view
p0001222,temporal,when,upon,little,content,1,1001+,1001+,2,4,2,1958,qwen_pair_packed
p0001223,temporal,while,following,telling,verbish,1,1001+,1001+,3,1,2,1961,simple_wiki
p0001224,temporal,after,sleep,stay,content,1,1001+,1001+,4,4,3,1962,open_subtitles
p0001225,spatial,into,neighbor,camera,content,1,101-250,251-500,3,3,3,1962,open_subtitles
p0001226,spatial,into,feel,bit,content,1,1001+,1001+,10,3,4,1963,bnc_spoken
p0001227,comparative,more,fire,anyone,content,1,1001+,1001+,3,4,3,1964,qwen_pair_packed
p0001228,comparative,than,hurt,anyone,content,1,1001+,1001+,3,3,2,1964,qwen_pair_packed
p0001229,temporal,once,sea,land,content,1,1001+,1001+,5,5,4,1965,open_subtitles
p0001230,temporal,until,care,feels,content,1,1001+,251-500,3,2,2,1966,open_subtitles
p0001231,causal_connector,if,book,favorite,content,1,1001+,501-1000,5,4,3,1971,childes
p0001232,temporal,when,watch,down,content,1,1001+,1001+,2,3,2,1971,childes
p0001233,comparative,more,says,recent,content,1,1001+,251-500,3,6,6,1976,fw_preserved_compact_view
p0001234,comparative,than,says,recent,content,1,1001+,251-500,4,5,6,1976,fw_preserved_compact_view
p0001235,temporal,before,bath,supper,content,1,501-1000,501-1000,1,1,1,1977,childes
p0001236,causal_connector,though,far,weather,content,1,1001+,501-1000,4,5,3,1978,gutenberg
p0001237,causal_connector,because,sex,wrote,content,1,251-500,1001+,4,2,1,1979,open_subtitles
