direction,anchor_correct_82,column,subtask,subgroup,fine_group,item_key,pred_id,gold,pred_82,pred_84,pred_alpha075,text_a,text_b
chck84_correct_alpha075_wrong,1,COMPS,base,co-occurrence,,COMPS/base/14674,base_14674,a turkey can make a clucking noise.,a turkey can make a clucking noise.,a turkey can make a clucking noise.,ham can make a clucking noise.,a turkey,ham
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/14721,base_14721,a gong can make a loud noise.,a drum can make a loud noise.,a gong can make a loud noise.,a drum can make a loud noise.,a gong,a drum
chck84_correct_alpha075_wrong,1,COMPS,base,random,,COMPS/base/14743,base_14743,a rifle can make a loud noise.,a rifle can make a loud noise.,a rifle can make a loud noise.,a moped can make a loud noise.,a rifle,a moped
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/14752,base_14752,a squirrel can make a squeaky noise.,a squirrel can make a squeaky noise.,a beaver can make a squeaky noise.,a squirrel can make a squeaky noise.,a squirrel,a beaver
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/14765,base_14765,a bat can make a squeaky noise.,a bat can make a squeaky noise.,a skunk can make a squeaky noise.,a bat can make a squeaky noise.,a bat,a skunk
alpha075_correct_chck84_wrong,1,COMPS,base,random,,COMPS/base/14775,base_14775,a rat can make a squeaky noise.,a rat can make a squeaky noise.,a tuba can make a squeaky noise.,a rat can make a squeaky noise.,a rat,a tuba
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/14778,base_14778,a hamster can make a squeaky noise.,a rabbit can make a squeaky noise.,a hamster can make a squeaky noise.,a rabbit can make a squeaky noise.,a hamster,a rabbit
chck84_correct_alpha075_wrong,1,COMPS,base,co-occurrence,,COMPS/base/14782,base_14782,a balloon can make a squeaky noise.,a balloon can make a squeaky noise.,a balloon can make a squeaky noise.,a rocket can make a squeaky noise.,a balloon,a rocket
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/14785,base_14785,a harpsichord can make a twangy sound.,a piano can make a twangy sound.,a harpsichord can make a twangy sound.,a piano can make a twangy sound.,a harpsichord,a piano
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/1481,base_1481,a moped can be driven.,a moped can be driven.,a bicycle can be driven.,a moped can be driven.,a moped,a bicycle
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/14824,base_14824,a housefly can make loud sounds.,a mosquito can make loud sounds.,a housefly can make loud sounds.,a mosquito can make loud sounds.,a housefly,a mosquito
chck84_correct_alpha075_wrong,1,COMPS,base,overlap,,COMPS/base/14825,base_14825,a housefly can make loud sounds.,a housefly can make loud sounds.,a housefly can make loud sounds.,a flea can make loud sounds.,a housefly,a flea
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/14826,base_14826,a housefly can make loud sounds.,a cockroach can make loud sounds.,a housefly can make loud sounds.,a cockroach can make loud sounds.,a housefly,a cockroach
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/14830,base_14830,a monkey can make loud sounds.,a squirrel can make loud sounds.,a monkey can make loud sounds.,a squirrel can make loud sounds.,a monkey,a squirrel
alpha075_correct_chck84_wrong,0,COMPS,base,co-occurrence,,COMPS/base/1486,base_1486,a carriage can be driven by horses.,a horse can be driven by horses.,a horse can be driven by horses.,a carriage can be driven by horses.,a carriage,a horse
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/14865,base_14865,a piano can make music.,a piano can make music.,a revolver can make music.,a piano can make music.,a piano,a revolver
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/14868,base_14868,a gong can make music.,a gong can make music.,a peeler can make music.,a gong can make music.,a gong,a peeler
chck84_correct_alpha075_wrong,1,COMPS,base,co-occurrence,,COMPS/base/1490,base_1490,a cart can be driven by horses.,a cart can be driven by horses.,a cart can be driven by horses.,a basket can be driven by horses.,a cart,a basket
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/14927,base_14927,a tricycle can make sounds.,potato can make sounds.,a tricycle can make sounds.,potato can make sounds.,a tricycle,potato
alpha075_correct_chck84_wrong,1,COMPS,base,random,,COMPS/base/14939,base_14939,a raven can make sounds.,a raven can make sounds.,a nose can make sounds.,a raven can make sounds.,a raven,a nose
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/14942,base_14942,an elephant can make sounds.,a seahorse can make sounds.,an elephant can make sounds.,a seahorse can make sounds.,an elephant,a seahorse
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/14958,base_14958,a whisk can make surfaces smooth.,a spoon can make surfaces smooth.,a whisk can make surfaces smooth.,a spoon can make surfaces smooth.,a whisk,a spoon
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/14960,base_14960,whiskey can make you drunk.,whiskey can make you drunk.,coffee can make you drunk.,whiskey can make you drunk.,whiskey,coffee
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/14991,base_14991,a rollerskate can make you fall.,tangerine can make you fall.,a rollerskate can make you fall.,tangerine can make you fall.,a rollerskate,tangerine
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/14993,base_14993,a swing can make you fall.,a swing can make you fall.,a rattle can make you fall.,a swing can make you fall.,a swing,a rattle
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15005,base_15005,a van can malfunction.,a van can malfunction.,a trolley can malfunction.,a van can malfunction.,a van,a trolley
alpha075_correct_chck84_wrong,0,COMPS,base,overlap,,COMPS/base/15009,base_15009,a tricycle can malfunction.,a trolley can malfunction.,a trolley can malfunction.,a tricycle can malfunction.,a tricycle,a trolley
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/15016,base_15016,a washing machine can malfunction.,an apron can malfunction.,a washing machine can malfunction.,an apron can malfunction.,a washing machine,an apron
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15018,base_15018,a washing machine can malfunction.,a bathtub can malfunction.,a washing machine can malfunction.,a bathtub can malfunction.,a washing machine,a bathtub
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/15019,base_15019,a washing machine can malfunction.,a wallet can malfunction.,a washing machine can malfunction.,a wallet can malfunction.,a washing machine,a wallet
alpha075_correct_chck84_wrong,0,COMPS,base,taxonomic,,COMPS/base/15040,base_15040,a spoon can measure.,a fork can measure.,a fork can measure.,a spoon can measure.,a spoon,a fork
alpha075_correct_chck84_wrong,0,COMPS,base,overlap,,COMPS/base/15053,base_15053,a jug can measure.,a mug can measure.,a mug can measure.,a jug can measure.,a jug,a mug
chck84_correct_alpha075_wrong,1,COMPS,base,overlap,,COMPS/base/15061,base_15061,butter can melt.,butter can melt.,butter can melt.,mayonnaise can melt.,butter,mayonnaise
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/15062,base_15062,butter can melt.,butter can melt.,a peanut can melt.,butter can melt.,butter,a peanut
chck84_correct_alpha075_wrong,1,COMPS,base,random,,COMPS/base/15091,base_15091,a cake can melt under heat.,a cake can melt under heat.,a cake can melt under heat.,a pea can melt under heat.,a cake,a pea
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/1510,base_1510,jeans can be durable.,jeans can be durable.,a shirt can be durable.,jeans can be durable.,jeans,a shirt
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15101,base_15101,jelly can melt under heat.,jelly can melt under heat.,a pie can melt under heat.,jelly can melt under heat.,jelly,a pie
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/15171,base_15171,a minnow can move.,jam can move.,a minnow can move.,jam can move.,a minnow,jam
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/15179,base_15179,a cheetah can move.,tea can move.,a cheetah can move.,tea can move.,a cheetah,tea
alpha075_correct_chck84_wrong,0,COMPS,base,random,,COMPS/base/15239,base_15239,a starling can peck.,a chainsaw can peck.,a chainsaw can peck.,a starling can peck.,a starling,a chainsaw
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/15244,base_15244,a parakeet can peck.,a frog can peck.,a parakeet can peck.,a frog can peck.,a parakeet,a frog
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/15245,base_15245,a parakeet can peck.,a hamster can peck.,a parakeet can peck.,a hamster can peck.,a parakeet,a hamster
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15257,base_15257,a dove can peck.,a dove can peck.,a bat can peck.,a dove can peck.,a dove,a bat
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/15258,base_15258,a dove can peck.,a dove can peck.,a turtle can peck.,a dove can peck.,a dove,a turtle
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/15260,base_15260,a cockerel can peck.,a frog can peck.,a cockerel can peck.,a frog can peck.,a cockerel,a frog
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15265,base_15265,a kingfisher can peck.,a kingfisher can peck.,a platypus can peck.,a kingfisher can peck.,a kingfisher,a platypus
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/15283,base_15283,a fork can pick up food.,bacon can pick up food.,a fork can pick up food.,bacon can pick up food.,a fork,bacon
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/1530,base_1530,watermelon can be eaten.,watermelon can be eaten.,lemonade can be eaten.,watermelon can be eaten.,watermelon,lemonade
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/15300,base_15300,a bullet can pierce or impale.,a bullet can pierce or impale.,a boomerang can pierce or impale.,a bullet can pierce or impale.,a bullet,a boomerang
alpha075_correct_chck84_wrong,1,COMPS,base,random,,COMPS/base/1531,base_1531,watermelon can be eaten.,watermelon can be eaten.,a fox can be eaten.,watermelon can be eaten.,watermelon,a fox
alpha075_correct_chck84_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15342,base_15342,a television can play audio.,a microwave can play audio.,a microwave can play audio.,a television can play audio.,a television,a microwave
alpha075_correct_chck84_wrong,0,COMPS,base,overlap,,COMPS/base/15353,base_15353,a harp can play different notes.,a hammer can play different notes.,a hammer can play different notes.,a harp can play different notes.,a harp,a hammer
alpha075_correct_chck84_wrong,0,COMPS,base,random,,COMPS/base/15359,base_15359,a bagpipe can play different notes.,a barrel can play different notes.,a barrel can play different notes.,a bagpipe can play different notes.,a bagpipe,a barrel
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/15386,base_15386,a violin can play different notes.,a violin can play different notes.,a bow can play different notes.,a violin can play different notes.,a violin,a bow
alpha075_correct_chck84_wrong,0,COMPS,base,random,,COMPS/base/15399,base_15399,a tractor can plough.,castanets can plough.,castanets can plough.,a tractor can plough.,a tractor,castanets
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/15408,base_15408,a hummingbird can pollinate.,an eagle can pollinate.,a hummingbird can pollinate.,an eagle can pollinate.,a hummingbird,an eagle
chck84_correct_alpha075_wrong,1,COMPS,base,overlap,,COMPS/base/15417,base_15417,a ladybird can pollinate.,a ladybird can pollinate.,a ladybird can pollinate.,a stick insect can pollinate.,a ladybird,a stick insect
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/1544,base_1544,a buttercup can be eaten.,a geranium can be eaten.,a buttercup can be eaten.,a geranium can be eaten.,a buttercup,a geranium
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/15444,base_15444,an oil tanker can pollute the environment.,an oil tanker can pollute the environment.,a ship can pollute the environment.,an oil tanker can pollute the environment.,an oil tanker,a ship
chck84_correct_alpha075_wrong,1,COMPS,base,co-occurrence,,COMPS/base/15462,base_15462,a hyena can pounce.,a hyena can pounce.,a hyena can pounce.,a hippo can pounce.,a hyena,a hippo
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15482,base_15482,a lion can pounce.,an elephant can pounce.,a lion can pounce.,an elephant can pounce.,a lion,an elephant
chck84_correct_alpha075_wrong,1,COMPS,base,taxonomic,,COMPS/base/15508,base_15508,a deer can prance.,a deer can prance.,a deer can prance.,a moose can prance.,a deer,a moose
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15521,base_15521,a pony can prance.,a pony can prance.,a buffalo can prance.,a pony can prance.,a pony,a buffalo
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15534,base_15534,a helmet can prevent injury.,gloves can prevent injury.,a helmet can prevent injury.,gloves can prevent injury.,a helmet,gloves
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15558,base_15558,an apple can produce cider.,blueberry can produce cider.,an apple can produce cider.,blueberry can produce cider.,an apple,blueberry
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15577,base_15577,an ox can produce milk.,an ox can produce milk.,a calf can produce milk.,an ox can produce milk.,an ox,a calf
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/15617,base_15617,a bullet can propel through air.,a dagger can propel through air.,a bullet can propel through air.,a dagger can propel through air.,a bullet,a dagger
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/15619,base_15619,a bullet can propel through air.,cabbage can propel through air.,a bullet can propel through air.,cabbage can propel through air.,a bullet,cabbage
alpha075_correct_chck84_wrong,0,COMPS,base,overlap,,COMPS/base/15669,base_15669,an armor can protect the body.,a sweater can protect the body.,a sweater can protect the body.,an armor can protect the body.,an armor,a sweater
alpha075_correct_chck84_wrong,1,COMPS,base,random,,COMPS/base/1567,base_1567,lime can be eaten cold.,lime can be eaten cold.,a bean can be eaten cold.,lime can be eaten cold.,lime,a bean
chck84_correct_alpha075_wrong,1,COMPS,base,taxonomic,,COMPS/base/15672,base_15672,earmuffs can protect the ears.,earmuffs can protect the ears.,earmuffs can protect the ears.,an armor can protect the ears.,earmuffs,an armor
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/15673,base_15673,earmuffs can protect the ears.,a scarf can protect the ears.,earmuffs can protect the ears.,a scarf can protect the ears.,earmuffs,a scarf
chck84_correct_alpha075_wrong,1,COMPS,base,random,,COMPS/base/15679,base_15679,a helmet can protect the face.,a helmet can protect the face.,a helmet can protect the face.,a bed can protect the face.,a helmet,a bed
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/15681,base_15681,a helmet can protect the head.,an armor can protect the head.,a helmet can protect the head.,an armor can protect the head.,a helmet,an armor
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/157,base_157,watermelon bruises over time.,watermelon bruises over time.,a peanut bruises over time.,watermelon bruises over time.,watermelon,a peanut
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/15731,base_15731,a birch tree can provide shade.,flour can provide shade.,a birch tree can provide shade.,flour can provide shade.,a birch tree,flour
alpha075_correct_chck84_wrong,0,COMPS,base,random,,COMPS/base/15739,base_15739,a houseboat can provide shelter.,a bathtub can provide shelter.,a bathtub can provide shelter.,a houseboat can provide shelter.,a houseboat,a bathtub
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/15744,base_15744,a caravan can provide shelter.,a caravan can provide shelter.,a tractor can provide shelter.,a caravan can provide shelter.,a caravan,a tractor
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/15752,base_15752,a desk can provide support.,a desk can provide support.,a table can provide support.,a desk can provide support.,a desk,a table
chck84_correct_alpha075_wrong,1,COMPS,base,taxonomic,,COMPS/base/15756,base_15756,a bone can provide support.,a bone can provide support.,a bone can provide support.,an ear can provide support.,a bone,an ear
chck84_correct_alpha075_wrong,1,COMPS,base,random,,COMPS/base/15767,base_15767,a robe can provide warmth.,a robe can provide warmth.,a robe can provide warmth.,a donut can provide warmth.,a robe,a donut
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15781,base_15781,a cape can provide warmth.,a cape can provide warmth.,a coat can provide warmth.,a cape can provide warmth.,a cape,a coat
alpha075_correct_chck84_wrong,1,COMPS,base,random,,COMPS/base/15783,base_15783,a cape can provide warmth.,a cape can provide warmth.,a raccoon can provide warmth.,a cape can provide warmth.,a cape,a raccoon
alpha075_correct_chck84_wrong,0,COMPS,base,taxonomic,,COMPS/base/15784,base_15784,a parka can provide warmth.,a coat can provide warmth.,a coat can provide warmth.,a parka can provide warmth.,a parka,a coat
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/158,base_158,watermelon bruises over time.,watermelon bruises over time.,cucumber bruises over time.,watermelon bruises over time.,watermelon,cucumber
chck84_correct_alpha075_wrong,1,COMPS,base,overlap,,COMPS/base/15821,base_15821,a horse can pull things.,a horse can pull things.,a horse can pull things.,a camel can pull things.,a horse,a camel
chck84_correct_alpha075_wrong,1,COMPS,base,overlap,,COMPS/base/15845,base_15845,a deckchair can recline.,a deckchair can recline.,a deckchair can recline.,a rocking chair can recline.,a deckchair,a rocking chair
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15857,base_15857,a bone can regenerate.,a bone can regenerate.,a toe can regenerate.,a bone can regenerate.,a bone,a toe
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/15878,base_15878,a crowbar can remove nails.,a crowbar can remove nails.,a screwdriver can remove nails.,a crowbar can remove nails.,a crowbar,a screwdriver
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/15888,base_15888,an otter can reproduce.,an otter can reproduce.,a brussels sprout can reproduce.,an otter can reproduce.,an otter,a brussels sprout
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/1589,base_1589,tea can be eaten cold.,radish can be eaten cold.,tea can be eaten cold.,radish can be eaten cold.,tea,radish
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15894,base_15894,a fir tree can reproduce.,a cherry can reproduce.,a fir tree can reproduce.,a cherry can reproduce.,a fir tree,a cherry
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/15900,base_15900,a cat can reproduce.,a cat can reproduce.,a brussels sprout can reproduce.,a cat can reproduce.,a cat,a brussels sprout
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/1591,base_1591,tea can be eaten cold.,a bomb can be eaten cold.,tea can be eaten cold.,a bomb can be eaten cold.,tea,a bomb
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/15911,base_15911,a hummingbird can reproduce.,a finger can reproduce.,a hummingbird can reproduce.,a finger can reproduce.,a hummingbird,a finger
chck84_correct_alpha075_wrong,1,COMPS,base,random,,COMPS/base/15923,base_15923,an owl can reproduce.,an owl can reproduce.,an owl can reproduce.,a puppet can reproduce.,an owl,a puppet
alpha075_correct_chck84_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15934,base_15934,a radio can require batteries.,a microwave can require batteries.,a microwave can require batteries.,a radio can require batteries.,a radio,a microwave
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15942,base_15942,a clock can require batteries.,a desk can require batteries.,a clock can require batteries.,a desk can require batteries.,a clock,a desk
alpha075_correct_chck84_wrong,0,COMPS,base,taxonomic,,COMPS/base/15948,base_15948,a plow can require cleaning.,earmuffs can require cleaning.,earmuffs can require cleaning.,a plow can require cleaning.,a plow,earmuffs
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/15950,base_15950,a plow can require cleaning.,a crane can require cleaning.,a plow can require cleaning.,a crane can require cleaning.,a plow,a crane
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/15977,base_15977,a harp can require cleaning.,a harp can require cleaning.,a speedboat can require cleaning.,a harp can require cleaning.,a harp,a speedboat
alpha075_correct_chck84_wrong,1,COMPS,base,random,,COMPS/base/15979,base_15979,a harp can require cleaning.,a harp can require cleaning.,a marigold can require cleaning.,a harp can require cleaning.,a harp,a marigold
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/15995,base_15995,a buggy can require electricity.,an olive can require electricity.,a buggy can require electricity.,an olive can require electricity.,a buggy,an olive
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/15997,base_15997,a guitar can require electricity.,a harp can require electricity.,a guitar can require electricity.,a harp can require electricity.,a guitar,a harp
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/16024,base_16024,a doll can resemble a person.,a doll can resemble a person.,a balloon can resemble a person.,a doll can resemble a person.,a doll,a balloon
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/16045,base_16045,a bagpipe can resonate.,a broom can resonate.,a bagpipe can resonate.,a broom can resonate.,a bagpipe,a broom
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/16072,base_16072,tights can rip.,tights can rip.,a sock can rip.,tights can rip.,tights,a sock
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/1608,base_1608,sweet potato can be eaten mashed.,an artichoke can be eaten mashed.,sweet potato can be eaten mashed.,an artichoke can be eaten mashed.,sweet potato,an artichoke
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/1609,base_1609,sweet potato can be eaten mashed.,sweet potato can be eaten mashed.,a pea can be eaten mashed.,sweet potato can be eaten mashed.,sweet potato,a pea
alpha075_correct_chck84_wrong,0,COMPS,base,co-occurrence,,COMPS/base/1610,base_1610,sweet potato can be eaten mashed.,tomato can be eaten mashed.,tomato can be eaten mashed.,sweet potato can be eaten mashed.,sweet potato,tomato
alpha075_correct_chck84_wrong,0,COMPS,base,co-occurrence,,COMPS/base/16106,base_16106,a chair can rock.,a sofa can rock.,a sofa can rock.,a chair can rock.,a chair,a sofa
alpha075_correct_chck84_wrong,1,COMPS,base,taxonomic,,COMPS/base/16116,base_16116,a barrel can roll.,a barrel can roll.,a basin can roll.,a barrel can roll.,a barrel,a basin
alpha075_correct_chck84_wrong,0,COMPS,base,overlap,,COMPS/base/16129,base_16129,a wheelchair can roll.,a trolley can roll.,a trolley can roll.,a wheelchair can roll.,a wheelchair,a trolley
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/16148,base_16148,a skateboard can roll.,a bicycle can roll.,a skateboard can roll.,a bicycle can roll.,a skateboard,a bicycle
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/16183,base_16183,a hummingbird can roost.,a scarf can roost.,a hummingbird can roost.,a scarf can roost.,a hummingbird,a scarf
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/16197,base_16197,a grasshopper can rub its wings.,a cricket can rub its wings.,a grasshopper can rub its wings.,a cricket can rub its wings.,a grasshopper,a cricket
alpha075_correct_chck84_wrong,0,COMPS,base,overlap,,COMPS/base/1621,base_1621,carrot can be eaten raw.,leek can be eaten raw.,leek can be eaten raw.,carrot can be eaten raw.,carrot,leek
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/16225,base_16225,a rhino can run.,an elephant can run.,a rhino can run.,an elephant can run.,a rhino,an elephant
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/16270,base_16270,an emu can run fast.,a kangaroo can run fast.,an emu can run fast.,a kangaroo can run fast.,an emu,a kangaroo
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/16277,base_16277,a bear can run fast.,a lion can run fast.,a bear can run fast.,a lion can run fast.,a bear,a lion
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/16281,base_16281,a dog can run fast.,a dog can run fast.,a gerbil can run fast.,a dog can run fast.,a dog,a gerbil
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/16330,base_16330,a barge can sail.,a barge can sail.,a crane can sail.,a barge can sail.,a barge,a crane
chck84_correct_alpha075_wrong,0,COMPS,base,taxonomic,,COMPS/base/16332,base_16332,a dishwasher can save time.,a refrigerator can save time.,a dishwasher can save time.,a refrigerator can save time.,a dishwasher,a refrigerator
chck84_correct_alpha075_wrong,0,COMPS,base,random,,COMPS/base/16343,base_16343,a washing machine can save time.,a cape can save time.,a washing machine can save time.,a cape can save time.,a washing machine,a cape
chck84_correct_alpha075_wrong,1,COMPS,base,random,,COMPS/base/1635,base_1635,lemon can be eaten raw.,lemon can be eaten raw.,lemon can be eaten raw.,a sandwich can be eaten raw.,lemon,a sandwich
alpha075_correct_chck84_wrong,0,COMPS,base,taxonomic,,COMPS/base/16352,base_16352,a raccoon can scavenge in bins.,a bear can scavenge in bins.,a bear can scavenge in bins.,a raccoon can scavenge in bins.,a raccoon,a bear
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/16354,base_16354,a raccoon can scavenge in bins.,a raccoon can scavenge in bins.,a squirrel can scavenge in bins.,a raccoon can scavenge in bins.,a raccoon,a squirrel
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/16362,base_16362,a shovel can scoop.,a shovel can scoop.,a wheelbarrow can scoop.,a shovel can scoop.,a shovel,a wheelbarrow
alpha075_correct_chck84_wrong,0,COMPS,base,co-occurrence,,COMPS/base/16386,base_16386,a trowel can scrape.,a wheelbarrow can scrape.,a wheelbarrow can scrape.,a trowel can scrape.,a trowel,a wheelbarrow
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/16390,base_16390,a spoon can scrape.,a spoon can scrape.,a bowl can scrape.,a spoon can scrape.,a spoon,a bowl
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/16402,base_16402,a chisel can scrape.,a chisel can scrape.,a screwdriver can scrape.,a chisel can scrape.,a chisel,a screwdriver
chck84_correct_alpha075_wrong,0,COMPS,base,co-occurrence,,COMPS/base/16410,base_16410,a knife can scrape.,scissors can scrape.,a knife can scrape.,scissors can scrape.,a knife,scissors
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/16425,base_16425,a scorpion can scuttle.,a scorpion can scuttle.,a ladybird can scuttle.,a scorpion can scuttle.,a scorpion,a ladybird
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/1645,base_1645,kiwi can be eaten raw.,kiwi can be eaten raw.,pumpkin can be eaten raw.,kiwi can be eaten raw.,kiwi,pumpkin
alpha075_correct_chck84_wrong,0,COMPS,base,taxonomic,,COMPS/base/16456,base_16456,a prawn can scuttle.,a crayfish can scuttle.,a crayfish can scuttle.,a prawn can scuttle.,a prawn,a crayfish
alpha075_correct_chck84_wrong,1,COMPS,base,overlap,,COMPS/base/16473,base_16473,a screw can secure things.,a screw can secure things.,a bolt can secure things.,a screw can secure things.,a screw,a bolt
alpha075_correct_chck84_wrong,1,COMPS,base,co-occurrence,,COMPS/base/16474,base_16474,a screw can secure things.,a screw can secure things.,a nut can secure things.,a screw can secure things.,a screw,a nut
alpha075_correct_chck84_wrong,1,COMPS,base,random,,COMPS/base/16479,base_16479,a cage can secure things.,a cage can secure things.,a squid can secure things.,a cage can secure things.,a cage,a squid
chck84_correct_alpha075_wrong,0,COMPS,base,overlap,,COMPS/base/16497,base_16497,a train can serve food on board.,a coach can serve food on board.,a train can serve food on board.,a coach can serve food on board.,a train,a coach
alpha075_correct_chck84_wrong,0,COMPS,base,taxonomic,,COMPS/base/16504,base_16504,an eye can shed tears.,an ear can shed tears.,an ear can shed tears.,an eye can shed tears.,an eye,an ear
